"LANGUAGE","ORIGINAL","ENGLISH","CZECH","GERMAN","RUSSIAN","POLISH","HUNGARIAN","ITALIAN","SPANISH","FRENCH","CHINESE","PORTUGUESE","JAPANESE","CHINESESIMP",
"STR_EXPANSION_PARTY_ERROR_PLAYER_NOT_IN","Player is not in this group!","Player is not in this group!","Hráč není v této skupině!","Dieser Spieler ist nicht in dieser Gruppe!","Игрок не в этой группе!","Gracz nie jest w tej grupie!","A játékos nnem tagja a csapatnak!","Il giocatore non è in questo gruppo!","¡El jugador no está en este grupo!","Le joueur n'est pas dans ce groupe !","Player is not in this group!","O jogador não está no grupo.","プレーヤーはこのグループに所属していません!","玩家不在此组中！",
"STR_EXPANSION_PARTY_ERROR_REMOVE_OWNER","You can't remove the owner of this group!","You can't remove the owner of this group!","Nelze odebrat vlastníka této skupiny!","Du kannst den Besitzer der Gruppe nicht entfernen!","Вы не можете выгнать создателя этой группы!","Nie możesz usunąć lidera tej grupy!","Nem tudod eltávolítani a csoport tulajdonosát!","Non puoi rimuovere il proprietario del gruppo!","¡No puedes quitar al propietario del grupo!","Tu ne peux pas retirer le propriétaire du groupe !","You can't remove the owner of this group!","Você não pode remover o líder deste grupo!","グループのオーナーは排除できません!","您无法删除此群的所有者！",
"STR_EXPANSION_PARTY_ERROR_SELF_NOT_IN","You are not a member of this group!","You are not a member of this group!","Nejsi členem této skupiny!","Du bist kein Mitglied dieser Gruppe!","Вы не состоите в этой группе!","Nie jesteś członkiem tej grupy!","Nem vagy tagja ennek a csapatnak!","Non sei membro di questo gruppo!","¡No eres miembro es ese grupo!","Tu n'es pas membre de ce groupe  !","You are not a member of this group!","Você não é um membro deste grupo!","あなたはこのグループのメンバーではありません!","你不是这个小组的成员！",
"STR_EXPANSION_PARTY_ERROR_UNKNOWN","Player's identity does not exist!","Player's identity does not exist!","Identita hráče neexistuje!","Konnte Identität des Spielers nicht finden!","Такой игрок не существует!","Tożsamość gracza nie istnieję!","A játékos nem létezik!","L'identità del giocatore non esiste!","¡La identidad de ese jugador no existe!","L'identité du joueur n'existe pas !","Player's identity does not exist!","O jogador não foi encontrado.","プレーヤーが存在しません!","玩家的身份不存在！",
"STR_EXPANSION_PARTY_INVITED","You have received an invite to the party %1.","You have received an invite to the party %1.","Obdržel/a jsi pozvánku do skupiny %1.","Du hast eine Gruppeneinladung für die Gruppe %1 erhalten.","Вы получили приглашение в группу %1.","You have received an invite to the party %1.","You have received an invite to the party %1.","Hai ricevuto un invito al gruppo %1.","Has recibido una invitacion de grupo %1.","Vous avez reçu une invitation au groupe %1.","You have received an invite to the party %1.","You have received an invite to the party %1.","You have received an invite to the party %1.","您已收到参加聚会 %1 的邀请。",
"STR_EXPANSION_PARTY_INVITED_SENDER","You have sent an invite to the player %1.","You have sent an invite to the player %1.","Odeslal/a jsi pozvánku hráči %1.","Du hast eine Gruppeneinladung an den Spieler %1 gesendet.","Вы отправили приглашение игроку %1.","You have sent an invite to the player %1.","You have sent an invite to the player %1.","Hai inviato un invito al gruppo al giocatore %1.","Has enviado una invitacion de grupo %1.","Vous avez envoyé une invitation au joueur %1.","You have sent an invite to the player %1.","You have sent an invite to the player %1.","You have sent an invite to the player %1.","您已向玩家 %1 发送邀请。",
"STR_EXPANSION_PARTY_INVITE_DECLINED","You have declined the invite to the party %1.","You have declined the invite to the party %1.","Odmítl/a jsi pozvánku do skupiny %1.","Du hast die Einladung in die Gruppe %1 abgelehnt.","Вы отклонили приглашение в группу %1.","You have declined the invite to the party %1.","You have declined the invite to the party %1.","Hai rifiutato l'invito al gruppo %1","Has rechazado una invitacion de grupo %1.","Vous avez décliné l'invitation du groupe %1.","You have declined the invite to the party %1.","You have declined the invite to the party %1.","You have declined the invite to the party %1.","您已拒绝加入派对 %1 的邀请。",
"STR_EXPANSION_PARTY_INVITE_PLAYER","Invite to group","Invite to group","Pozvat do skupiny","In Gruppe einladen","Пригласить в группу","Invite to group","Invite to group","Invita al gruppo","Invite to group","Inviter au groupe","Invite to group","Invite to group","Invite to group","邀请加入群组",
"STR_EXPANSION_PARTY_LEFT","You left the group!","You left the group!","Opustil/a jsi skupinu!","Du hast die Gruppe verlassen!","Вы покинули группу!","Opuściłeś grupę!","Elhagytad a csapatot!","Hai lasciato il gruppo!","¡Has abandonado el grupo!","Tu as quitté le groupe !","You left the group!","Você saiu do grupo!","グループから脱会しました!","你离开了这个群组！",
"STR_EXPANSION_PARTY_LEFT_MEMBERS","%1 has left the group!","%1 has left the group!","%1 opustil/a skupinu!","%1 hat die Gruppe verlassen!","%1 покинул группу!","%1 opuścił grupę!","%1 elhagyta a csapatot!","%1 ha lasciato il gruppo","%1 ha abandonado el grupo!","%1 a quitté le groupe !","%1 has left the group!","%1 saiu do grupo!","%1 has left the group!","%1 已经离开了这个群组!",
"STR_EXPANSION_PARTY_MARKER_ADDED","Party marker created!","Party marker created!","Skupinová značka vytvořena.","Gruppenmarkierung erstellt!","Групповая метка создана!","Znacznik grupy został stworzony!","Csapat jelölő létrehozva!","Marcatore di gruppo creato!","¡Marcador de grupo creado!","Un marqueur de groupe a été créé.","Party marker created!","Marcação do grupo criada!","パーティーマーカーが作成されました!","团队标记已经创建！",
"STR_EXPANSION_PARTY_MARKER_CHANGED","A Party marker has been changed.","A Party marker has been changed.","Skupinová značka změněna.","Eine Gruppenmarkierung wurde verändert!","Метка группы была изменена.","A Party marker has been changed.","Egy csapatjelölő megváltoztatásra került.","Un marcatore di gruppo è cambiato.","Un marcador de grupo ha sido modificado.","Un marqueur de groupe a été modifié.","A Party marker has been changed.","A Party marker has been changed.","A Party marker has been changed.","小队标记已更改。",
"STR_EXPANSION_PARTY_MARKER_REMOVED","Party marker removed!","Party marker removed!","Skupinová značka odstraněna.","Gruppenmarkierung entfernt!","Групповая метка удалена!","Znacznik grupy został usunięty!","Csapat jelölő törölve!","Marcatore di gruppo rimosso!","¡Marcador de grupo removido!","Un marqueur de groupe a été supprimé.","Party marker removed!","Marcação do grupo removida!","パーティーマーカーが削除されました!","团队标记已经移除！",
"STR_EXPANSION_PARTY_MEMBER_ADDED","You have been added to a group!","You have been added to a group!","Přidán/a do skupiny!","Du wurdest zur Gruppe hinzugefügt!","Вы были добавлены в группу!","Zostałeś dodany do grupy!","Hozzáadtak egy csapathoz!","Sei stato aggiunto al gruppo","¡Has sido añadido a un grupo!","Vous avez été ajouté à un groupe !","You have been added to a group!","Você foi adicionado ao grupo!","グループに参加しました!","你需要添加一个群组！",
"STR_EXPANSION_PARTY_MEMBER_ADDED_SENDER","Player %1 has been added to the group!","Player %1 has been added to the group!","Hráč %1 přidán do skupiny!","Der Spieler %1 wurde zur Gruppe hinzugefügt!","Игрок %1 был добавлен в группу!","Gracze %1 zostali dodani do grupy!","%1 játékos hozzá lett adva a csapathoz!","Giocatore %1 aggiunto al gruppo","¡El jugador %1 ha sido añadido al grupo!","Le joueur %1 a été ajouté au groupe !","Player %1 has been added to the group!","O jogador %1 foi adicionado ao grupo!","グループにプレーヤーが参加しました!","玩家已被添加进群组！",
"STR_EXPANSION_PARTY_MEMBER_DEMOTED","You have been demoted to %1.","You have been demoted to %1.","Degradován/a na %1.","Du wurdest zum %1 degradiert.","Вы были понижены в должности до %1.","Zostałeś zdegradowany do stopnia %1.","Lefokoztak %1 rangba.","Sei stato degradato a  %1.","has sido bajado a  %1.","Tu as été rétrogradé au grade %1.","You have been demoted to %1.","Você foi rebaixado a %1!","You have been demoted to %1.","你被降低权限至 %1.",
"STR_EXPANSION_PARTY_MEMBER_DEMOTED_SENDER","%1 was demoted to %2.","%1 was demoted to %2.","%1 degradován/a na %2.","%1 wurde zum %2 degradiert.","%1 был понижен в должности до %2.","%1 został zdegradowany do stopnia %2.","%1 le lett fokozva %2 rangba","%1 è stato degradato a %2.","%1 ha sido bajado a %2.","%1 a été rétrogradé au grade %2.","%1 was demoted to %2.","%1 foi rebaixado a %2!","%1 was demoted to %2.","%1 被降低至 %2.",
"STR_EXPANSION_PARTY_MEMBER_PROMOTED","You have been promoted to %1.","You have been promoted to %1.","Povýšen/a na %1.","Du wurdest zum %1 befördert.","Вы были повышены до %1.","Zostałeś awansowany do stopnia %1.","Előléptettek %1 rangba.","Sei stato promosso a %1.","Has sido promocionado a %1.","Tu as été promu au grade %1.","You have been promoted to %1.","Você foi promovido a %1!","You have been promoted to %1.","你已经被提升权限至 %1.",
"STR_EXPANSION_PARTY_MEMBER_PROMOTED_SENDER","%1 was promoted to %2.","%1 was promoted to %2.","%1 povýšen/a na %2.","%1 wurde zum %2 befördert.","%1 был повышен до %2.","%1 został awansowany do stopnia %2.","%1 elő lett léptetve %2 rangba.","%1 è stato promosso a %2.","%1 ha sido promocionado a %2.","%1 a été promu au grade %2.","%1 was promoted to %2.","%1 foi promovido!","%1 was promoted to %2.","%1 被提升权限至 %2.",
"STR_EXPANSION_PARTY_MEMBER_REMOVED","You have been removed from a group!","You have been removed from a group!","Odstraněn/a ze skupiny!","Du wurdest aus der Gruppe entfernt!","Вы были изгнаны из группы!","Zostałeś usunięty z grupy!","Eltávolítottak a csapatból!","Sei stato rimosso dal griuppo!","¡Has sido expulsado del grupo!","Tu as été retiré du groupe !","You have been removed from a group!","Você foi removido do grupo!","グループから排除されました!","你已被移出该群组！",
"STR_EXPANSION_PARTY_MEMBER_REMOVED_SENDER","Player has been removed from the group!","Player has been removed from the group!","Hráč odstraněn ze skupiny!","Der Spieler wurde aus der Gruppe entfernt!","Игрок был изгнан из группы!","Gracz został usunięty z grupy!","Egy játékost eltávolítottak a csapatból!","Il giocatore è stato rimosso dal gruppo","¡El jugador ha sido expulsado del grupo!","Le joueur a été retiré du groupe !","Player has been removed from the group!","Jogadores foram removidos do grupo!","プレーヤーはグループから排除されました!","玩家已被移出该群组！",
"STR_EXPANSION_PARTY_NOTIF_TITLE","Party System","Party System","Skupinový Systém","Gruppensystem","Система групп","System Grup","Csapat Rendszer","Gestione Gruppi","Sistema de grupo","Système de groupe","Party System","Sistema de Grupo","パーティーシステム","组队系统",
"STR_EXPANSION_PARTY_PARTY_DISSOLVED","Group has been dissolved!","Group has been dissolved!","Skupina byla zrušena!","Die Gruppe wurde aufgelöst!","Группа была распущена!","Grupa została usunięta","A csapat megszűnt!","Il gruppo è stato sciolto","¡El grupo ha sido disuelto!","Le groupe a été dissous !","Group has been dissolved!","O grupo no qual você estava foi desfeito!","グループは解散されました!","群组已被解散！",
"STR_EXPANSION_PARTY_PERMISSIONS_CHANGED_RECIVER","Your party permissions have been changed!","Your party permissions have been changed!","Tvoje oprávnění ve skupině byla změněna!","Deine Gruppenrechte wurden geändert!","Ваши групповые разрешения были изменены!","Your party permissions have been changed!","Your party permissions have been changed!","I tuoi permessi di gruppo sono cambiati!!","Tus permisos de grupo han sido editados!","Vos permissions de groupe ont été modifiées !","Your party permissions have been changed!","Your party permissions have been changed!","Your party permissions have been changed!","您的派对权限已更改！",
"STR_EXPANSION_PARTY_PERMISSIONS_CHANGED_SENDER","Changed party permissions for player %1!","Changed party permissions for player %1!","Změněna oprávnění v skupině pro hráče %1!","Gruppenrechte von %1 geändert!","Изменены разрешения группы для игрока %1!","Changed party permissions for player %1!","Changed party permissions for player %1!","Sono cambiati i permessi di gruppo per il giocatore %1!","Has editado los permisos de un jugador %1!","Permissions de groupe modifiées pour le joueur %1 !","Changed party permissions for player %1!","Changed party permissions for player %1!","Changed party permissions for player %1!","更改了玩家 %1 的派对权限！",
"STR_EXPANSION_PARTY_SYSTEM_ADDED_TO_PARTY_MEMBER","You have been successfully added to a party!","You have been successfully added to a party!","Úspěšně přidán/a do skupiny!","Du wurdest erfolgreich einer Gruppe hinzugefügt!","Вы были успешно добавлены в группу!","Zostałeś pomyślnie dodany do grupy!","Csatlakoztál egy Csapathoz!","Sei stato aggiunto con successo al party!","¡Has sido añadido a un grupo!","Tu as bien été ajouté dans un groupe !","You have been successfully added to a party!","Você foi adicionado ao grupo com sucesso!","パーティーに正常に参加できました!","你已被成功添加至团队中！",
"STR_EXPANSION_PARTY_SYSTEM_ADDED_TO_PARTY_OWNER","Player has been successfully added to the party!","Player has been successfully added to the party!","Hráč úspěšně přidán do skupiny!","Ein Spieler wurde erfolgreich zur Gruppe hinzugefügt!","Игрок был успешно добавлен в группу!","Gracz został pomyślnie dodany do grupy!","Egy Játékos hozzáadva a Csapathoz!","Il giocatore è stato correttamente aggiunto al party!","¡El jugador ha sido añadido al grupo!","Le joueur été ajouté au groupe avec succès !","Player has been successfully added to the party!","O jogador foi adicionado ao grupo com sucesso!","プレーヤーは正常にパーティーに追加されました!","玩家被成功添加进团队！",
"STR_EXPANSION_PARTY_SYSTEM_ALPHANUMERIC","Your party name needs to only contain alphanumeric characters + _","Your party name needs to only contain alphanumeric characters + _","Název skupiny může obsahovat pouze alfanumerické znaky a + _","Dein Gruppenname darf nur alphanumerische Zeichen, Leerzeichen und Unterstriche enthalten.","Название группы должно состоять только из алфавитно-числовых символов и _","Nazwa grupy może zawierać jedynie znaki alfanumeryczne i ""_"".","A Csapatod neve csak alfanumerikus karaktereket tartalmazhat!","Il nome del tuo gruppo deve contenere solamente caratteri alfanumerici!","El nombre del grupo debe tener letras y numeros","Le nom de ton groupe doit contenir uniquement des caractères alphanumériques + ""_""","Your party name needs to only contain alphanumeric characters + _","O nome do grupo deve conter somente caracteres alfabéticos.","パーティー名は半角英数と _ のみ使用可のです","你的名称中只能包含数字字母字符！",
"STR_EXPANSION_PARTY_SYSTEM_KICKED_MEMBER","You have been kicked from the party!","You have been kicked from the party!","Byl/a jsi vyhozena ze skupiny!","Du wurdest aus der Gruppe entfernt!","Вы были изгнаны из группы!","Zostałeś wyrzucony z grupy!","Kirúgtak a Csapatból!","Sei stato cacciato dal gruppo!","¡Has sido expulsado del grupo!","Tu as été exclu du groupe !","You have been kicked from the party!","Você foi removido do grupo!","パーティーからキックされました!","你已被踢出团队！",
"STR_EXPANSION_PARTY_SYSTEM_KICKED_OWNER","Player has been successfully kicked from the party!","Player has been successfully kicked from the party!","Hráč úspěšně vyhozen ze skupiny!","Ein Spieler wurde erfolgreich aus der Gruppe entfernt!","Игрок был успешно изгнан из группы!","Gracz został wyrzucony z grupy!","Egy Játékos ki lett rúgva a Csapatból!","Il Giocatore è stato correttamente rimosso dal party!","¡El jugador ha sido expulsado del grupo!","Le joueur a été exclu du groupe avec succès !","Player has been successfully kicked from the party!","O jogador foi removido do grupo com sucesso!","プレーヤーは正常にパーティーからキックされました!","玩家被成功踢出团队！",
"STR_EXPANSION_PARTY_SYSTEM_KICK_YOURSELF","You can't kick yourself!","You can't kick yourself!","Nelze vykopnout sebe.","Du kannst dich nicht selbst entfernen!","Вы не можете выгнать себя!","Nie możesz wyrzucić samego siebie!","Nem tudod Kickelni magad!","Non puoi espellere te stesso!","¡No te puedes hechar a ti mismo!","Tu ne peux pas t'exclure toi même !","You can't kick yourself!","Você não pode se expulsar!","自分自身はキックできません!","你不能踢出你自己！",
"STR_EXPANSION_PARTY_SYSTEM_NAME","Your party name need to have between 3 and 32 characters!","Your party name need to have between 3 and 32 characters!","Název skupiny musí mít mezi 3 a 32 znaky!","Dein Gruppenname muss aus drei bis 32 Zeichen bestehen!","Название группы должно состоять из 3-32 символов!","Nazwa Twojej grupy musi mieć minimum 3, a maksimum 32 znaków!","A Csapatod nevének 3 és 32 karakter között kell lennie!","Il nome del tuo gruppo deve avere tra 3 e 32 caratteri!","El nombre del grupo debe tener entre 3 y 32 letras","Le nom de ton groupe doit avoir entre 3 & 32 caractères !","Your party name need to have between 3 and 32 characters!","O nome do grupo precisa ter entre 3 a 32 caracteres.","パーティー名は3文字から32文字までとなります!","你需要给你的队伍取一个3-32字符的名称！",
"STR_EXPANSION_PARTY_SYSTEM_NAME_ALREADY_USED","The name of your party is already used!","The name of your party is already used!","Název skupiny je již používaný někým jiným.","Dieser Gruppenname ist bereits vergeben!","Это название группы уже используется!","Ta nazwa jest już w użyciu!","A Csapatnév már foglalt!","Il nome del tuo party è gia in uso!","¡El grupo ha sido creado!","Le nom de ton groupe est déjà utilisé !","The name of your party is already used!","O nome do seu grupo já está em uso!","そのパーティ名は既に使用されています!","你的团队名已经被其他队所使用！",
"STR_EXPANSION_PARTY_SYSTEM_PARTY_CREATED","Your party has been successfully created!","Your party has been successfully created!","Skupina úspěšně vytvořena.","Deine Gruppe wurde erfolgreich erstellt!","Группа была успешно создана!","Twoja grupa została utworzona pomyślnie!","A Csapatod elkészült!","Il tuo gruppo è stato creato con successo!","¡El nombre del grupo ya está siendo usado!","Ton groupe a été créé avec succès !","Your party has been successfully created!","O seu grupo foi criado com sucesso!","パーティーは正常に作成されました!","团队创建成功！",
"STR_EXPANSION_PARTY_SYSTEM_PARTY_DISSOLVED","Your party has been dissolved!","Your party has been dissolved!","Skupina úspěšně rozpuštěna.","Deine Gruppe wurde aufgelöst!","Группа была успешно распущена!","Twoja grupa została rozwiązana!","A Csapatod feloszlott!","Il tuo gruppo è stato sciolto!","¡El grupo ha sido disuelto!","Ton groupe a été dissous !","Your party has been dissolved!","O seu grupo foi desfeito!","パーティーは解散されました!","你的团队已被解除！",
"STR_EXPANSION_PARTY_SYSTEM_PLAYER_ALREADY_IN_PARTY","That player is already in a party!","That player is already in a party!","Hráč už v nějaké skupině je!","Dieser Spieler ist bereits in der Gruppe!","Этот игрок уже в группе!","Ten gracz jest członkiem innej drużyny!","Ez a játékos már Csapatban van!","Quel player è già in un gruppo!","¡Ese jugador ya esta en un grupo!","Ce joueur est déja dans un groupe !","That player is already in a party!","O jogador já está no seu grupo!","そのプレーヤーは既にパーティーに属しています!","该玩家已在团队中！",
"STR_EXPANSION_PARTYHUD_TITLE","Party Hud","Party Hud","Party Hud","Party Hud","Груповой HUD","Party Hud","Party Hud","Party Hud","Party Hud","Party Hud","Party Hud","Party Hud","Party Hud","Party Hud",
"STR_EXPANSION_PARTYHUD_TOGGLE","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud","Přepnout viditelnost Party Hud","Switched Visibility of the Party Hud","Переключенная видимость групового HUD","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud","Switched Visibility of the Party Hud",
"STR_EXPANSION_TOGGLE_PARTYHUD","Toggle PartyHud","Toggle PartyHud","Přepnout PartyHud","Toggle PartyHud","Включить груповой HUD","Toggle PartyHud","Toggle PartyHud","Toggle PartyHud","Toggle PartyHud","Toggle PartyHud","Toggle PartyHud","Toggle PartyHud","Toggle PartyHud","Toggle PartyHud",
