"LANGUAGE","ORIGINAL","ENGLISH","CZECH","GERMAN","RUSSIAN","POLISH","HUNGARIAN","ITALIAN","SPANISH","FRENCH","CHINESE","PORTUGUESE","JAPANESE","CHINESESIMP",
"STR_EXPANSION_HELICOPTER_CYCLIC_BACKWARD","Helicopter Cyclic Backward","Helicopter Cyclic Backward","Vrtulník cyklika dozadu","Helicopter Cyclic Backward","Джостик назад (вертолёт)","Kontrola Cykliczna Śmigłowca W Tył","Helicopter Cyclic Backward","Ciclico Indietro","Retroceder","Hélicoptère Cyclique arrière","直升機循環後退","Ciclo Atrás","Helicopter Cyclic Backward","直升机向后倾斜",
"STR_EXPANSION_HELICOPTER_CYCLIC_FORWARD","Helicopter Cyclic Forward","Helicopter Cyclic Forward","Vrtulník cyklika dopředu","Helicopter Cyclic Forward","Джостик вперёд (вертолёт)","Kontrola Cykliczna Śmigłowca W Przód","Helicopter Cyclic Forward","Ciclico Avanti","Avanzar","Hélicoptère Cyclique avant","直升機循環前進","Ciclo Frente","Helicopter Cyclic Forward","直升机向前倾斜",
"STR_EXPANSION_HELICOPTER_CYCLIC_LEFT","Helicopter Cyclic Left","Helicopter Cyclic Left","Vrtulník cyklika doleva","Helicopter Cyclic Left","Джостик влево (вертолёт)","Kontrola Cykliczna Śmigłowca W Lewo","Helicopter Cyclic Left","Ciclico Sinistra","Inclinar Derecha","Hélicoptère Cyclique gauche","直升機循環左轉","Ciclo Esquerda","Helicopter Cyclic Left","直升机左转倾斜",
"STR_EXPANSION_HELICOPTER_CYCLIC_RIGHT","Helicopter Cyclic Right","Helicopter Cyclic Right","Vrtulník cyklika doprava","Helicopter Cyclic Right","Джостик вправо (вертолёт)","Kontrola Cykliczna Śmigłowca W Prawo","Helicopter Cyclic Right","Ciclico Destra","Inclinar Izquierda","Hélicoptère Cyclique droite","直升機循環右轉","Ciclo Direita","Helicopter Cyclic Right","直升机右转倾斜",
"STR_EXPANSION_HELICOPTER_FREELOOK","Free Look","Free Look","Volný pohled","Freie Ansicht","Свободный обзор","Wolne Spojrzenie","Szabad nézet","Visuale Libera","Camara libre","Caméra libre","自由觀看","Olhar Livremente","フリールック","自由查看",
"STR_EXPANSION_HELICOPTER_TOGGLE_AUTOHOVER","Toggle Auto-Hover","Toggle Auto-Hover","Přepnout auto-hover","Ändere Auto-Hover","Переключить Авто-зависание","Toggle Auto-Hover","Toggle Auto-Hover","Autolibrazione On/Off","Encender/apagar Auto-Hover","Basculer auto-pilote","切換自動懸停","Alterar para Auto-Hover","Toggle Auto-Hover","切换自动悬停",
"STR_EXPANSION_HYDROHOSE","Hydraulic Hoses","Hydraulic Hoses","Hydraulická hadice","Hydraulikschläuche","Рукав высокого давления","Węże hydrauliczne","Hydraulic Hoses","Tubi Idraulici","Manguera","Tuyaux hydrauliques","液壓軟管","Mangueiras hidráulicas","Hydraulic Hoses","液压软管",
"STR_EXPANSION_HYDROHOSE_DESC","A hose is a flexible hollow tube designed to carry fluids from one location to another.","A hose is a flexible hollow tube designed to carry fluids from one location to another.","Hadice je ohebná dutá trubice určená k přenášení tekutin z jednoho místa na druhé.","Ein Schlauch ist ein flexibles Hohlrohr, mit dem Flüssigkeiten von einem Ort zum anderen transportiert werden können.","Рукав высокого давления (РВД) — это гибкий трубопровод для транспортировки специальных гидравлических и моторных жидкостей на базе минерального масла, жидкого топлива, консистентных смазок, гликоля или водной эмульсии под давлением, для передачи рабочего усилия.","Wąż to elastyczna pusta rura zaprojektowana do przenoszenia płynów z jednego miejsca do drugiego.","A hose is a flexible hollow tube designed to carry fluids from one location to another.","Un tubo retato preposto a trasportare fluidi tra due punti di un circuito idraulico.","Una manguera es un tubo vacio diseñado para transportar fluidos entre dos puntos","Un tuyau est un tube creux flexible conçu pour transporter des fluides d'un endroit à un autre.","軟管是一種柔軟的中空管，設計用於將液體從一個地點運送到另一個地點。","Uma mangueira é um tubo oco flexível projetado para transportar fluidos de um local para outro.","A hose is a flexible hollow tube designed to carry fluids from one location to another.","软管是一种柔性空心管，旨在将流体从一个位置输送到另一个位置。",
"STR_EXPANSION_IGNITERPLUG","Igniter Plug","Igniter Plug","Zapalovací svíčka","Turbinen-Zündkerze","Свеча зажигания","Wtyczka Zapłonowa","Igniter Plug","Candela d'accensione Elicottero","Bujia de Aeronave","Bougie d'allumage","點火塞","Plugue de ignição","Igniter Plug","点火器插头",
"STR_EXPANSION_IGNITERPLUG_DESC","The igniter plug of a turbine engine ignition system differs considerably from the spark plug of a reciprocating engine ignition system. Its electrode must be capable of withstanding a current of much higher energy than the electrode of a conventional spark plug.","The igniter plug of a turbine engine ignition system differs considerably from the spark plug of a reciprocating engine ignition system. Its electrode must be capable of withstanding a current of much higher energy than the electrode of a conventional spark plug.","Zapalovací svíčka zažehne jednou v určitém čase v motorovém cyklu, aby zahájila jedinou explozi.","Die Zündkerze eines Turbinenmotors unterscheidet sich maßgeblich von der eines kolbengetriebenen Motors. Ihre Elektrode muss fähig sein, einer viel höheren Stromstärke standzuhalten, als die einer konventionellen Zündung.","Свеча зажигания зажигается один раз в определенное время в цикле двигателя, чтобы вызвать взрыв, который двигает поршень.","Świeca zapłonowa iskrzy raz na określony czas w cyklu silnika, aby wywołać pojedynczą eksplozję.","The igniter plug of a turbine engine ignition system differs considerably from the spark plug of a reciprocating engine ignition system. Its electrode must be capable of withstanding a current of much higher energy than the electrode of a conventional spark plug.","Una candela d'accensione. Scocca una scintilla in un tempo specifico durante un ciclo per innescare la combustione","Una bujia crea chispas con un tiempo determinado para poder producir explosiones","Une bougie d'allumage, étincelle une fois à un moment précis du cycle du moteur pour déclencher une seule explosion.","渦輪引擎點火系統的點火塞與往復式引擎點火系統的火星塞有很大不同。 它的電極必須能夠承受比傳統火星塞電極高得多的能量。","Um plugue de ignição acende uma vez em um momento específico do ciclo do motor para acionar uma única explosão.","The igniter plug of a turbine engine ignition system differs considerably from the spark plug of a reciprocating engine ignition system. Its electrode must be capable of withstanding a current of much higher energy than the electrode of a conventional spark plug.","点火塞在发动机循环中的特定时间产生一次火花以引发一次爆炸。",
"STR_EXPANSION_KEYCHAIN","Keychain","Keychain","Klíčenka","Schlüsselband","Связка ключей","Keychain","Keychain","Portachiavi","Lllavero","Keychain","鑰匙扣","Keychain","Keychain","钥匙链",
"STR_EXPANSION_KEYCHAIN_DESC","An old keychain used to organize car keys.","An old keychain used to organize car keys.","Stará klíčenka používaná k organizaci klíčů od auta.","Ein Band an dem ein Fahrzeugschlüssel befestigt werden kann.","Старая связка ключей, используемая для хранения автомобильных ключей.","An old keychain used to organize car keys.","An old keychain used to organize car keys.","Un vecchio Portachiavi usato per tenere in ordine delle chiavi per auto","Un llavero, ideal para organizar llaves.","An old keychain used to organize car keys.","一個舊的鑰匙扣，用於整理車鑰匙。","An old keychain used to organize car keys.","An old keychain used to organize car keys.","用于整理汽车钥匙的旧钥匙链。",
"STR_EXPANSION_KEYS","Keys","Keys","Klíče","Schlüssel","Ключи","Keys","Keys","Chiavi","Llaves de auto","Clés","鑰匙","Keys","Keys","钥匙",
"STR_EXPANSION_MASTER_KEYS","Master Keys","Master Keys","Hlavní klíče","Hauptschlüssel","Мастер-ключи","Master Keys","Master Keys","Master Chiavi","Llave Maestra","Clés principales","主鑰匙","Master Keys","Master Keys","万能钥匙",
"STR_EXPANSION_OPEN_PARACHUTE","Open Parachute","Open Parachute","Otevřít padák","Fallschirm öffnen","Открыть парашют","Otwórz Spadochron","Ejtőernyő nyitása","Apri Paracadute","Abrir paracaidas","Ouvrir le parachute","打開降落傘","Abrir Paraquedas","パラシュートを開く","打开降落伞",
"STR_EXPANSION_PAIR_KEY","Pair Key","Pair Key","Párovací klíč","Schlüssel verbinden","Скопировать ключ","Paruj Klucz","Kulcs pár","Associa chiave","Llave emparejada","Apparier la clé","配對鑰匙","Par de Chave","合鍵の作製","配对密钥",
"STR_EXPANSION_PLANE_AILERON_LEFT","Plane Aileron Left","Plane Aileron Left","Křídlo letadla doleva","Flugzeug-Querruder links","Элерон самолета левый","Plane Aileron Left","Plane Aileron Left","Alettoni Aereo SINISTRA","Timón de avión Izquierda","Plane Aileron Left","飛機副翼向左","Plane Aileron Left","Plane Aileron Left","固定翼左侧副翼",
"STR_EXPANSION_PLANE_AILERON_RIGHT","Plane Aileron Right","Plane Aileron Right","Křídlo letadla doprava","Flugzeug-Querruder rechts","Элерон самолета правый","Plane Aileron Right","Plane Aileron Right","Alettoni Aereo DESTRA","Timón de avión derecha","Plane Aileron Right","飛機副翼向右","Plane Aileron Right","Plane Aileron Right","固定翼右侧副翼",
"STR_EXPANSION_PLANE_ELEVATOR_DOWN","Plane Elevator Down","Plane Elevator Down","Výškovka letadla dolů","Flugzeug-Höhenruder runter","Самолет вниз","Plane Elevator Down","Plane Elevator Down","Elevatore Aereo GIU","Descender avión","Plane Elevator Down","飛機升降舵向下","Plane Elevator Down","Plane Elevator Down","固定翼俯冲",
"STR_EXPANSION_PLANE_ELEVATOR_UP","Plane Elevator Up","Plane Elevator Up","Výškovka letadla nahoru","Flugzeug-Höhenruder hoch","Самолет вверх","Plane Elevator Up","Plane Elevator Up","Elevatore Aereo SU","Elevar avión","Plane Elevator Up","飛機升降舵向上","Plane Elevator Up","Plane Elevator Up","固定翼抬升",
"STR_EXPANSION_PLANE_ENGINE","Plane Engine","Plane Engine","Motor letadla","Flugzeug Motor","Двигатель самолета","Plane Engine","Plane Engine","Motore Aereo","Motor de Avión","Plane Engine","飛機引擎","Plane Engine","Plane Engine","固定翼引擎",
"STR_EXPANSION_PLANE_ENGINE_DOWN","Plane Engine Down","Plane Engine Down","Letadlo přidat výkon","Flugzeuggeschwindigkeit runter","Тяга вниз (самолёт)","Zmniejszenie Ciągu W Samolocie","Repülé Gáz Elvétel","Rallenta Aereo","Avion frenar","Ralentir l'avion","飛機引擎關閉","Avião - Desligar Motor","飛行機・出力ダウン","引擎减力(固定翼飞机)",
"STR_EXPANSION_PLANE_ENGINE_UP","Plane Engine Up","Plane Engine Up","Letadlo ubrat výkon","Flugzeuggeschwindigkeit hoch","Тяга вверх (самолёт)","Zwiększenie Ciągu W Samolocie","Repülő Gáz Adás","Accelera Aereo","Avion accelerar","Accélérer l'avion","飛機引擎啟動","Avião - Ligar Motor","飛行機・出力アップ","引擎加力(固定翼飞机)",
"STR_EXPANSION_PLANE_FLAPS_DOWN","Plane Flaps Down","Plane Flaps Down","Letadlo klapky dolů","Flugzeugklappen runter","Закрылки вниз (самолёт)","Klapy W Dół","Repülő Fékszárny LE","Aereo Flaps Giù","Avion flaps abajo","Descente des volets","飛機襟翼放下","Avião - Flaps para baixo","飛行機・フラップを下げる","襟翼向下(固定翼飞机)",
"STR_EXPANSION_PLANE_FLAPS_UP","Plane Flaps Up","Plane Flaps Up","Letadlo klapky nahoru","Flugzeugklappen hoch","Закрылки вверх (самолёт)","Klapy W Góre","Repülő Fékszárny FEL","Aereo Flaps Su","Avion flaps arriba","Monter des volets","飛機襟翼收起","Avião - Flaps para cima","飛行機・フラップを上げる","襟翼向上(固定翼飞机)",
"STR_EXPANSION_PLANE_PITCH_DOWN","Plane Pitch Down","Plane Pitch Down","Letadlo náklon dolů","Flugzeugnase absenken","Тангаж вверх (самолёт)","Przechylenie Samolotu W Dół","Repülő Emelkedés LE","Aereo Beccheggio Giù","Avion descender","Descendre l'avion","飛機俯仰下降","Avião - Inclinar para Baixo","飛行機・機体を下げる","水平升降舵向上(固定翼飞机)",
"STR_EXPANSION_PLANE_PITCH_UP","Plane Pitch Up","Plane Pitch Up","Letadlo náklon nahoru","Flugzeugnase anheben","Тангаж вниз (самолёт)","Przechylenie Samolotu W Góre","Repülé Emelkedés FEL","Aereo Beccheggio Su","Avion ascender","Faire monter l'avion","飛機俯仰上升","Avião - Inclinar para Cima","飛行機・機体を上げる","水平升降舵向上(固定翼飞机)",
"STR_EXPANSION_PLANE_ROLL_LEFT","Plane Roll Left","Plane Roll Left","Letadlo náklon doleva","Flugzeug nach links","Крен вправо (самолёт)","Przechylenie Samolotu W Lewo","Repülő Dőlés BALRA","Aereo Rollio a Sinistra","Avion inclinación izquierda","Incliner l'avion à gauche","飛機滾轉向左","Avião - Girar para Esquerda","飛行機・左ロール","左转(固定翼飞机)",
"STR_EXPANSION_PLANE_ROLL_RIGHT","Plane Roll Right","Plane Roll Right","Letadlo náklon doprava","Flugzeug nach rechts","Крен влево (самолёт)","Przechylenie Samolotu W Prawo","Repülő Dőlés JOBBRA","Aereo Rollio a Destra","Avion inclinación derecha","Incliner l'avion à droite","飛機滾轉向右","Avião - Girar para Direita","飛行機・右ロール","右转(固定翼飞机)",
"STR_EXPANSION_PLANE_RUDDER_LEFT","Plane Rudder Left","Plane Rudder Left","Letadlo směrovka doleva","Flugzeug-Ruder links","Педаль влево (самолёт)","Ster Samolotu W Lewo","Repülő Kormánylap BALRA","Aereo Imbardata a Sinistra","Avion giro izquierda","Pivoter l'avion sur la droite","飛機方向舵向左","Avião - Leme Esquerda","飛行機・ラダー左","左倾(固定翼飞机)",
"STR_EXPANSION_PLANE_RUDDER_RIGHT","Plane Rudder Right","Plane Rudder Right","Letadlo směrovka doprava","Flugzeug-Ruder rechts","Педаль вправо (самолёт)","Ster Samolotu W Prawo","Repülő Kormánylap JOBBRA","Aereo Imbardata a Destra","Avion giro derecha","Pivoter l'avion sur la gauche","飛機方向舵向右","Avião - Leme Direita","飛行機・ラダー右","右倾(固定翼飞机)",
"STR_EXPANSION_REFILL_KEY","Refill MasterKey","Refill MasterKey","Znovu načíst hlavní klíč","Hauptschlüssel auffüllen","Заполнить мастер-ключ","Refill MasterKey","Refill MasterKey","Ricarica chiave Master","Recargar Llave Maestra","Recharger la clé principale","補充主鑰匙","Refill MasterKey","Refill MasterKey","充值万能钥匙",
