"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_BLOODTYPE","BLOOD TYPE:","BLOOD TYPE:","KREVNÍ SKUPINA:","BLUTGRUPPE:","ТИП КРОВИ:","BLOOD TYPE:","BLOOD TYPE:","GRUPPO SANGUIGNO:","BLOOD TYPE:","GROUPE SANGUIN :","血型：","BLOOD TYPE:","BLOOD TYPE:","血型：",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_PLAYER_DISTANCE","DISTANCE TRAVELLED:","DISTANCE TRAVELLED:","PŘEKONANÁ VZDÁLENOST:","ZURÜCKGELEGTE STRECKE:","ПРОЙДЕНО:","PRZEBYTY DYSTANS:","DISTANCE TRAVELLED:","DISTANZA PERCORSA:","DISTANCIA RECORRIDA","DISTANCE PARCOURUE:","移動距離：","DISTANCE TRAVELLED:","DISTÂNCIA PERCORRIDA:","旅行距离：",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_PLAYER_FACTION","FACTION:","FACTION:","FRAKCE:","FRAKTION:","ФРАКЦИЯ:","FACTION:","FACTION:","FAZIONE:","FACTION:","FACTION:","陣營：","FACTION:","FACTION:","派别：",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_PLAYER_KILLS","PLAYER KILLS:","PLAYER KILLS:","ZABITÍ HRÁČI:","GETÖTETE SPIELER:","УБИТО ИГРОКОВ:","ZABICI GRACZE:","PLAYER KILLS:","UCCISIONI DI GIOCATORI:","JUGADORES ASESINADOS","JOUEURS TUÉS:","玩家擊殺數：","プレーヤーキル数：","PLAYERS MORTOS:","玩家击杀：",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_PLAYER_PLAYTIME","TIME SURVIVED:","TIME SURVIVED:","DÉLKA PŘEŽITÍ:","ZEIT ÜBERLEBT:","ВРЕМЯ ВЫЖИВАНИЯ:","CZAS PRZETRWANIA:","TIME SURVIVED:","TEMPO DA SOPRAVVISSUTO:","TIEMPO SOBREVIVIDO","TEMPS SURVÉCU:","倖存時間：","TIME SURVIVED:","TEMPO SOBREVIVIDO:","生存时间：",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_PLAYER_SHOT","LONGEST SHOT:","LONGEST SHOT:","NEJDELŠÍ STŘELA:","WEITESTER SCHUSS:","ДАЛЬНИЙ ВЫСТРЕЛ:","NAJDŁUŻSZE TRAFIENIE:","LONGEST SHOT:","TIRO PIÚ LUNGO:","DISPARO MAS LEJANO","TIR LE PLUS LOINTAIN:","最遠射擊距離：","LONGEST SHOT:","TIRO MAIS LONGO:","最远距离：",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_PLAYER_WEIGHT","WEIGHT:","WEIGHT:","VÁHA:","GEWICHT:","ВЕС:","WAGA:","WEIGHT:","PESO:","PESO","POIDS:","體重：","WEIGHT:","PESO:","体重：",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_ZOMBIE_KILLS","ZOMBIE KILLS:","ZOMBIE KILLS:","ZABITÍ NAKAŽENÍ:","GETÖTETE INFIZIERTE:","УБИТО ЗОМБИ:","ZABICI ZOMBIE:","ZOMBIE KILLS:","UCCISIONI DI ZOMBIE:","ZOMBIES ASESINADOS:","ZOMBIES TUÉS:","殭屍擊殺數：","ゾンビキル数：","ZUMBIS MORTOS:","僵尸击杀：",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_TABTITLE","Player Profile","Player Profile","Profil hráče","Spieler Profil","Профиль игрока","Player Profile","Player Profile","Profilo Giocatore","Perfil Jugador","Profil du joueur","玩家資料","Player Profile","Player Profile","玩家资料",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_TITLE","CHARACTER","CHARACTER","CHARAKTER","CHARAKTER","ПЕРСОНАЖ","POSTAĆ","CHARACTER","PERSONAGGIO","PERSONAJE","PERSONNAGE","角色","キャラクター","PERSONAGEM","角色",
"STR_EXPANSION_BOOK_STATUS_STATS_BLOOD","BLOOD:","BLOOD:","KREV:","BLUT:","КРОВЬ:","KREW:","BLOOD:","SANGUE:","SANGRE:","SANG:","血液：","血液：","SANGUE:","血量：",
"STR_EXPANSION_BOOK_STATUS_STATS_ENERGY","ENERGY:","ENERGY:","ENERGIE:","ENERGIE:","КАЛОРИИ:","ENERGIA:","ENERGY:","CALORIE:","ENERGÍA:","ÉNERGIE:","能量：","エネルギー：","ENERGIA:","能量：",
"STR_EXPANSION_BOOK_STATUS_STATS_HEALTH","HEALTH:","HEALTH:","ZDRAVÍ:","GESUNDHEIT:","ЗДОРОВЬЕ:","ZDROWIE:","HEALTH:","VITALITÀ:","SALUD:","SANTÉ:","生命：","ヘルス：","SAÚDE:","健康值：",
"STR_EXPANSION_BOOK_STATUS_STATS_STAMINA","STAMINA:","STAMINA:","VÝDRŽ:","AUSDAUER:","ВЫНОСЛИВОСТЬ","WYTRZYMAŁOŚĆ:","STAMINA:","RESISTENZA:","ESTAMINA:","ENDURANCE:","耐力：","STAMINA:","STAMINA:","耐久：",
"STR_EXPANSION_BOOK_STATUS_STATS_TITLE","STATS","STATS","STATY","STATISTIKEN","СТАТИСТИКА","STATYSTYKI","STATS","STATISTICHE:","ESTADÍSTICAS","STATISTIQUES","狀態","ステータス","STATUS","状态",
"STR_EXPANSION_BOOK_STATUS_STATS_WATER","WATER:","WATER:","VODA:","WASSER:","ВОДА:","WODA:","WATER:","ACQUA:","AGUA:","EAU:","水分：","水分：","ÁGUA:","飢渴值：",
"STR_EXPANSION_CANCEL","CANCEL","CANCEL","ZRUŠIT","ABBRECHEN","ОТМЕНА","CANCEL","CANCEL","ANNULLA","CANCELAR","ANNULER","取消","CANCEL","CANCEL","取消",
"STR_EXPANSION_CHEMICAL_POISON","Chemical Poisoning","Chemical Poisoning","Chemická otrava","Chemische Vergiftung","Химическое отравление","Chemical Poisoning","Kémiai mérgezés","Avvelenamento Chimico","Chemical Poisoning","Empoisonnement chimique","化學中毒","Chemical Poisoning","Chemical Poisoning","化学中毒",
"STR_EXPANSION_CHOLERA","Cholera","Cholera","Cholera","Cholera","Холера","Cholera","Kolera","Colera","Cholera","Choléra","霍亂","Cholera","Cholera","霍乱",
"STR_EXPANSION_CREDITS_3DARTISTS","3D - Artists","3D - Artists","3D grafici","3D-Künstler","3D-художники","Artyści 3D","3D - Modellezők","Artisti 3D","Artistas 3D","Artistes 3D","3D - 藝術家","3Dアーチスト","Artistas 3D","3D美术",
"STR_EXPANSION_CREDITS_COMMUNITY_MANAGER","Community Manager","Community Manager","Komunitní manažeři","Community-Manager","Комьюнити-менеджеры","Manadżer Społeczności","Közösségi Menedzser","Community Manager","Administrador de la Comunidad","Community Manager","社群經理","コミュニティー・マネージャー","Gerente de Comunicação","社区管理",
"STR_EXPANSION_CREDITS_LEAD","Project Lead","Project Lead","Vedoucí projektu","Projektleiter","Руководители проекта","Kierownik Zespołu","Projekt Vezető","Leader Progetto","Líder del proyecto","Leader du projet","項目負責人","プロジェクト・リーダー","Líder de Projeto","项目领导",
"STR_EXPANSION_CREDITS_MAPPING","Environment Design","Environment Design","Design prostředí","Umgebungsdesigner","Дизайнеры окружения","Projektowanie Otoczenia","Környezet Dizájn","Designer Ambienti","Diseño de ambiente","Conception de l'environnement","環境設計","環境デザイン","Design de Ambiente","环境设计",
"STR_EXPANSION_CREDITS_MOVIES","Film & Trailer Producer","Film & Trailer Producer","Video produkce","Film- & Trailer-Produzent","Режиссёры видео","Producent Filmików Oraz Zwiastunów","Film & Trailer Producer","Produttore Film e Trailer","Productor de pelicula y trailer","Producteur du Film & du Trailer","影片和預告片製作人","動画関連・プロデューサー","Produção de Filme & Trailer","电影/预告生产",
"STR_EXPANSION_CREDITS_PROGRAMMERS","Programmers","Programmers","Programátoři","Programmierer","Программисты","Programiści","Programmers","Programmatori","Programmers","Programmers","程式設計師","Programmers","Programadores","程序设计",
"STR_EXPANSION_CREDITS_SCRIPTERS","Scripters","Scripters","Skripteři","Scripter","Скриптеры","Skrypterzy","Szkripterek","Scripters","Desarrolladores","Développeurs","腳本設計師","スクリプトプログラマー","Roteiristas","脚本编辑",
"STR_EXPANSION_CREDITS_SPECIAL_THANKS","Special Thanks","Special Thanks","Speciální poděkování","Vielen Dank","Отдельная благодарность","Specjalne Podziękowania","Köszönetnyilvánítás","Ringraziamenti Speciali","Agradecimientos Especiales","Remerciements","特別感謝","特別感謝","Agradecimento Especial","特别感谢",
"STR_EXPANSION_CREDITS_SUPPORTERS","Project Supporters","Project Supporters","Podporovatelé projektu","Projektunterstützer","Поддержали проект","Wspomagacze Projektu","Projekt Támogatók","Supportatori","Donantes","Supporteurs","項目支持者","プロジェクト・サポーター","Apoiadores do Projeto","项目支持者",
"STR_EXPANSION_CREDITS_TRANSLATORS","Translators","Translators","Translators","Übersetzer","Переводчики","Translators","Translators","Translators","Translators","Translators","Translators","Translators","Translators","Translators",
"STR_EXPANSION_DECLINE","DECLINE","DECLINE","ODMÍTNOUT","ABLEHNEN","ОТКЛОНИТЬ","DECLINE","DECLINE","RIFIUTA","DECLINAR","DÉCLINER","拒絕","DECLINE","DECLINE","衰退",
"STR_EXPANSION_DEGREES","°","°","°","°","°","°","°","°","°","°","°","°","°","°",
"STR_EXPANSION_DENIED","Denied","Denied","Denied","Verweigert","Отклонено","Denied","Denied","Denied","Denied","Refusé","Denied","Denied","Denied","Denied",
"STR_EXPANSION_DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD",
"STR_EXPANSION_ERROR_TITLE","!!! ERROR !!!","!!! ERROR !!!","!!! ERROR !!!","!!! ERROR !!!","!!! ОШИБКА !!!","!!! ERROR !!!","!!! ERROR !!!","!!!ERRORE!!!","¡¡¡ ERROR !!!","!!! ERREUR !!!","!!! 錯誤 !!!","!!! ERROR !!!","!!! ERROR !!!","!!! 错误 !!!",
"STR_EXPANSION_FOOD_POISON","Food Poisoning","Food Poisoning","Otrava jídlem","Lebensmittelvergiftung","Пищевое отравление","Food Poisoning","Ételmérgezés","Intossicazione Alimentare","Food Poisoning","Intoxication alimentaire","食物中毒","Food Poisoning","Food Poisoning","食物中毒",
"STR_EXPANSION_FORUMS","FORUMS","FORUMS","FÓRA","FORUM","ФОРУМЫ","FORUM","FORUMS","FORUMS","FOROS","FORUM","論壇","フォーラム","FORUMS","论坛",
"STR_EXPANSION_GENERIC_AXE","Axe","Axe","Sekera","Axt","Топор","Axe","Axe","Ascia","Hacha","Hache","斧頭","Axe","Axe","斧头",
"STR_EXPANSION_GENERIC_BAYONET","Bayonet","Bayonet","Bayonet","Bajonett","Штык","Bayonet","Bayonet","Baionetta","Bayoneta","Baïonnette","刺刀","Bayonet","Bayonet","刺刀",
"STR_EXPANSION_GENERIC_KNIFE","Knife","Knife","Nůž","Messer","Нож","Knife","Knife","Coltello","Cuchillo","Couteau","刀子","Knife","Knife","刀",
"STR_EXPANSION_GENERIC_SAW","Saw","Saw","Pila","Säge","Пила","Saw","Saw","Sega","Sierra","Scie","鋸子","Saw","Saw","锯",
"STR_EXPANSION_GOLD_BAR","Gold Bar","Gold Bar","Zlatý prut","Goldbarren","Золотой слиток","Sztabka Złota","Gold Bar","Lingotto d' Oro","Lingote de oro","Lingot d'or","金條","金の延棒","Barra de Ouro","金条",
"STR_EXPANSION_GOLD_BAR_DESC","A gold bar, also called gold bullion or a gold ingot, is a quantity of refined metallic gold of any shape that is made by a bar producer meeting standard conditions of manufacture, labeling, and record keeping. Larger gold bars that are produced by pouring the molten metal into molds are called ingots.","A gold bar, also called gold bullion or a gold ingot, is a quantity of refined metallic gold of any shape that is made by a bar producer meeting standard conditions of manufacture, labeling, and record keeping. Larger gold bars that are produced by pouring the molten metal into molds are called ingots.","Zlatý prut, také nazývaný zlatý prut nebo zlatý ingot, je množství rafinovaného kovového zlata jakéhokoli tvaru, které vyrábí výrobce prutů splňující standardní podmínky výroby, označování a vedení záznamů. Větší zlaté pruty, které se vyrábějí nalitím roztaveného kovu do forem, se nazývají ingoty.","Ein Goldbarren ist eine Anhäufung von raffiniertem Silber, welche in einen Barren geschmolzen wurden.","Представляет собой некое количество чистого золота определённой формы с маркировкой. Производится путём заливки расплавленного металла.","Sztabka Złota to ilość rafinowanego metalicznego złota o dowolnym kształcie, wytwarzana przez producenta sztabki spełniającego standardowe warunki produkcji, etykietowania i prowadzenia dokumentacji. Większe sztabki złota wytwarzane przez wlewanie stopionego metalu do form nazywane są wlewkami.","A gold bar, also called gold bullion or a gold ingot, is a quantity of refined metallic gold of any shape that is made by a bar producer meeting standard conditions of manufacture, labeling, and record keeping. Larger gold bars that are produced by pouring the molten metal into molds are called ingots.","Un lingotto d' oro, è una quantità definita di oro metallico raffinato di qualsiasi forma, fabbricato rispettando degli standard di condizione di manifattura, timbratura e registrazione","Una barra de oro es una cantidad de oro metálico de cualquier forma refinado en una barra por un productor que cumple con condiciones estándar de manufactura, etiquetado y mantenimiento de registros. Las barras de oro más grandes que se producen vertiendo el metal fundido en moldes se llaman lingotes.","Un lingot d’or est un bloc d’or métallique raffiné de n’importe quelle forme (pièce de monnaie, barre) produit par un fabricant respectant des normes de fabrication, d’étiquetage et de suivi administratif. Les lingots les plus gros sont obtenus en faisant couler de l’or fondu dans un moule. Les plus petits sont souvent obtenus par estampage ou matriçage à partir de feuilles d’or roulées.","金條，也稱為金塊或黃金錠，是由符合標準製造、標籤和記錄條件的金條生產商製造的任何形狀的精煉金屬金的數量。通過將熔融金屬注入模具製成的較大的金條稱為錠。","金の延棒はブイヨン、インゴットなどの名前を持つ場合があり、精製された金を規定の量で延棒の形に生成されます。解かされたものを形に流し込み生成されますが、大型のものをインゴットと呼びます。","Uma barra de ouro, também chamada de barras de ouro ou lingote de ouro, é uma quantidade de ouro metálico refinado de qualquer formato fabricado por um produtor de barras que atenda às condições padrão de fabricação, rotulagem e manutenção de registros. As barras de ouro maiores que são produzidas derramando o metal fundido nos moldes são chamadas de lingotes.","金条，又称金条或金锭，是由一家金条生产商生产的，符合制造、标签和记录保存标准条件的任何形状的精制金属金。通过将熔化的金属倒入铸模而产生的较大的金条称为锭。",
"STR_EXPANSION_GOLD_NUGGET","Gold Nugget","Gold Nugget","Zlatá nugetka","Goldnugget","Золотой самородок","Samorodek Złota","Gold Nugget","Pepita d'Oro","Pepita de oro","Pépite d'or","金塊","金のナゲット","Pepita de Ouro","金块",
"STR_EXPANSION_GOLD_NUGGET_DESC","A gold nugget is a naturally occurring piece of native gold. Watercourses often concentrate nuggets and finer gold in placers. Nuggets are recovered by placer mining, but they are also found in residual deposits where the gold-bearing veins or lodes are weathered. Nuggets are also found in the tailings piles of previous mining operations, especially those left by gold mining dredges.","A gold nugget is a naturally occurring piece of native gold. Watercourses often concentrate nuggets and finer gold in placers. Nuggets are recovered by placer mining, but they are also found in residual deposits where the gold-bearing veins or lodes are weathered. Nuggets are also found in the tailings piles of previous mining operations, especially those left by gold mining dredges.","Zlatý nugget je přirozeně se vyskytující kousek přírodního zlata.","Ein Goldnugget ist ein natürliches Vorkommen von reinem Gold. Flussbette konzentrieren nuggets und feineres Gold in Lagern. Nuggets werden bei Tagebau erzeugt, aber werden auch in Restelagern gefunden. Nuggets können auch in stillgelegten Minen gefunden werden.","Природный кусок натурального золота. Можно найти в водотоках и в более мелком виде. Самородки так же могут быть обнаружены в остаточных месторождениях.","Samorodki Złota to naturalnie występujące kawałki rodzimego złota. Cieki wodne często koncentrują samorodki złota oraz drobniejszę złoto w placerach. Samorodki są wydobyte przez kopanie placerów, ale są również znajdywane w osadach resztkowych gdzie żyły złota są zwietrzałe. Samorodki są również znalezione w stosach odpadów z porzednich akcji wydobywczych, szczególnie tych pozostawionych przez dragi wydobywające złoto.","A gold nugget is a naturally occurring piece of native gold. Watercourses often concentrate nuggets and finer gold in placers. Nuggets are recovered by placer mining, but they are also found in residual deposits where the gold-bearing veins or lodes are weathered. Nuggets are also found in the tailings piles of previous mining operations, especially those left by gold mining dredges.","Una pepita d'oro è un pezzo d'oro ritrovabile in Natura. Solitamente nei corsi d'acqua si trovano delle piccole pepite, o nei canali alluvionali. Le Pepite si trovano minando in queste aree, ma anche in depositi con vene o filoni residuali. Spesso possono trovarsi anche nelle rimanenze di precedenti escavazioni, specialmente quelle aurifere.","Una pepita de oro es una pieza de oro nativo que se produce naturalmente. Los flujos de agua suelen concentrar pepitas y oros finos en placeres. Las pepitas se recuperan mediante la minería de placeres, pero también se encuentran en depósitos residuales donde las vetas con oro están desgastadas. Las pepitas también son halladas en las pilas de relaves de operaciones mineras anteriores, especialmente las abandonadas por dragas mineras de oro","Une pépite d’or est un morceau d’or qui se trouve à l’état natif dans la nature, ou bien transformé par le courant des cours d'eau.","金塊是天然產生的一塊本金。水道通常會將金塊和更細的金子聚集在砂礫中。金塊通常是通過砂礫採礦回收的，但它們也可以在殘餘的存儲庫中被發現，那裡的金礦脈或礦脈被風化。金塊也可以在以前的採金操作的尾礫堆中找到，尤其是被黃金挖泥機留下的那些。","金のナゲットは天然の状態の金の粒です。水脈辺りはより大きな粒を笊などを使用して発見できる場合があります。ナゲットは蓄積させる道具を使用して集めることもできますが、鉱脈や古い鉱山などでも発見できます。","Uma pepita de ouro é uma peça natural de ouro nativo. Os cursos de água geralmente concentram pepitas e ouro mais fino nos placers. As pepitas são recuperadas pela mineração de placers, mas também são encontradas em depósitos residuais, onde as veias ou os filões de ouro são resistidos. As pepitas também são encontradas nas pilhas de rejeitos de operações de mineração anteriores, especialmente aquelas deixadas pelas dragas de mineração de ouro","金块是一块天然的天然黄金。通常在水道或者河床上会含有许多细金。一般情况下金通过挖沙来搜集，但含金矿脉或矿脉风化的残余矿床中也有大量自然金。在老的采矿作业的尾矿堆中也能够发现金块。",
"STR_EXPANSION_HEMOLYTIC_REACTION","Hemolytic Reaction","Hemolytic Reaction","Hemolytic Reaction","Hämolytische Reaktion","Гемолитическая реакция","Hemolytic Reaction","Hemolytic Reaction","Reazione Emolitica","Hemolytic Reaction","Réaction hémolytique","溶血反應","Hemolytic Reaction","Hemolytic Reaction","溶血反应",
"STR_EXPANSION_HOMEPAGE","HOMEPAGE","HOMEPAGE","DOMOVSKÁ STRÁNKA","HOMEPAGE","ГЛАВНАЯ","STRONA GŁÓWNA","HOMEPAGE","HOMEPAGE","PÁGINA PRINCIPAL","SITE WEB","主頁","ホームページ","PÁGINA PRINCIPAL","主页",
"STR_EXPANSION_HOSTILE","Hostile","Hostile","Hostile","Hostile","Враждебный","Hostile","Hostile","Hostile","Hostile","Hostile","敵對的","Hostile","Hostile","敌对的",
"STR_EXPANSION_INVENTORY_FULL_TITLE","Inventory Full","Inventory Full","Inventory Full","Inventar voll","Инвентарь полон","Inventory Full","Inventory Full","Inventory Full","Inventory Full","Inventaire complet","Inventory Full","Inventory Full","Inventory Full","库存已满",
"STR_EXPANSION_INV_CARGO_SIZE","Storage space:","Storage space:","Úložný prostor:","Stauraum:","Размер инвентаря:","Storage space:","Storage space:","Dimensioni Cargo:","Storage space:","Taille cargaison :","儲存空間：","Storage space:","Storage space:","容量大小:",
"STR_EXPANSION_LABEL","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","拡張","EXPANSION","扩展",
"STR_EXPANSION_LATEST_MOD","Latest Mod Version","Latest Mod Version","Nejnovější verze módu:","Aktuellste Modversion","Последняя версия модификации","Najnowsza Wersja Modu","Legújabb mod verzió:","Ultima versione disponibile","Ultima version del mod","Dernière version du mod","最新的模組版本","最新の Mod のバージョン","Última versão do Mod","最新的模块版本",
"STR_EXPANSION_LOADED_MOD","Loaded Mod Version","Loaded Mod Version","Používaná verze módu:","Geladene Modversion","Используемая версия модификации","Załadowana Wersja Modu","Általad használt mod verzió:","Versione della mod caricata","Version del mod cargada","Version du mod actuelle","已載入模組版本","現在使用中の Mod のバージョン","Versão do Mod carregada.","装载的模块版本",
"STR_EXPANSION_MEMBER","Member","Member","Člen","Mitglied","Участник","Członek","Tag","Membro","Miembro","Membre","會員","Member","Membro","成员",
"STR_EXPANSION_MILK_LIQUID","Milk","Milk","Mléko","Milch","Молоко","Milk","Milk","Latte","Milk","Lait","牛奶","Milk","Milk","牛奶",
"STR_EXPANSION_MODERATOR","Moderator","Moderator","Moderátor","Moderator","Модератор","Moderator","Moderátor","Moderatore","Moderador","Modérateur","管理員","Moderator","Moderador","主持人",
"STR_EXPANSION_MOD_OUTDATED","You're running an outdated version of the DayZ Expansion Mod","You're running an outdated version of the DayZ Expansion Mod","Používáš starší verzi DayZ Expansion módu.","Du verwendest eine veraltete Version der DayZ Expansion Mod.","Используется устаревшая версия Dayz Expansion","Masz starą wersję DayZ Expansion","Egy régebbi verziójú EXPANSION MOD-ot futtatsz.","Stai utilizzando una vecchia versione di Expansion Mod","Estas usando una versión obsoleta del mod Dayz Expansion","Tu as une version obsolète du mod DayZ Expansion","您正在運行過時的 DayZ Expansion Mod 版本","DayZ Expansion Mod のバージョンが最新ではありません","Você está usando uma versão anterior do DayZ Expansion Mod","你正在运行老版本的DAYZ扩展模块",
