"LANGUAGE","ORIGINAL","ENGLISH","CZECH","GERMAN","RUSSIAN","POLISH","HUNGARIAN","ITALIAN","SPANISH","FRENCH","CHINESE","PORTUGUESE","JAPANESE","CHINESESIMP",
"STR_EXPANSION_GATE_DESC","A boom barrier, also known as a boom gate, is a bar, or pole pivoted to allow the boom to block vehicular or pedestrian access through a controlled point.","A boom barrier, also known as a boom gate, is a bar, or pole pivoted to allow the boom to block vehicular or pedestrian access through a controlled point.","Závora, běžně používaná k zablokování přístupu pro auta či chodce.","Eine Auslegersperre,, ist eine Stange, die geschwenkt wird, damit der Ausleger den Zugang von Fahrzeugen oder Fußgängern durch einen kontrollierten Punkt blockieren kann.","Шлагбаумные ворота, также известное как просто шлагбаум, представляет собой штангу или опору, поворачиваемую для того, чтобы стрела блокировала доступ автотранспорта или пешехода через контрольный пункт.","Rogatka, zwana również bramą wysięgnika, jest prętem lub drążkiem wychylnym, aby umożliwić wysięgnikowi zablokowanie dostępu do pojazdu lub pieszego przez kontrolowany punkt.","A boom barrier, also known as a boom gate, is a bar, or pole pivoted to allow the boom to block vehicular or pedestrian access through a controlled point.","Un cancello a sbarra, serve per regolare, permettere o negare il passaggio a veicoli o pedoni, grazie appunto ad una sbarra sollevabile imperniata ad un palo fisso.","La barrera es un bloqueo fisico que permite impedir el paso a personas o vehiculos.","Une barrière de flèche est une barre ou un poteau pivotant pour permettre à la flèche de bloquer l'accès des véhicules ou des piétons par un point contrôlé.","阻擋柵欄，也被稱為升降閘，是一根棒或柱，可以搖擺以阻止車輛或行人通過受控點。","Uma barreira da lança, também conhecida como portão da lança, é uma barra ou poste articulado para permitir que a lança bloqueie o acesso de veículos ou pedestres através de um ponto controlado.","A boom barrier, also known as a boom gate, is a bar, or pole pivoted to allow the boom to block vehicular or pedestrian access through a controlled point.","动臂护栏，也称为动臂门，是枢转的杆或杆，以允许动臂通过受控点阻挡车辆或行人通行。",
"STR_EXPANSION_GUNRACK","Gunrack","Gunrack","Stojan na zbraně","Waffenhalter","Оружейная стойка","Stojak Do Broni","Fegyvertároló rekesz","Rastrelliera per Armi","Armario de armas","Rack d'armes à feu","槍架","Prateleira de Armas","ガンラック","枪架",
"STR_EXPANSION_GUNRACK_DESC","A gun rack is a rack for storing firearms such as rifles and pistols. The rack is typically equipped with locks to prevent theft or improper use. Gun Racks can also be mounted onto vehicle transportation and can carry one or more guns safely and securely.","A gun rack is a rack for storing firearms such as rifles and pistols. The rack is typically equipped with locks to prevent theft or improper use. Gun Racks can also be mounted onto vehicle transportation and can carry one or more guns safely and securely.","Zbraňový stojan je stojan určený k ukládání palných zbraní, jako jsou pušky a pistole. Stojan je obvykle vybaven zámky k prevenci krádeže nebo neoprávněného použití. Zbraňové stojany lze také připevnit k vozidlové dopravě a bezpečně a spolehlivě převážet jednu nebo více zbraní.","Dieser Waffenhalter bietet genug Platz um genug Waffen ordentlich zu Lagern. Zusätzlich kann er auf einen LKW gespannt werden um einen Sicheren transport der Waffen zu garantieren.","Стойка для оружия - это стеллаж для хранения огнестрельного оружия, такого как винтовки и пистолеты. Стеллаж обычно снабжен замками для предотвращения кражи или неправильного использования. Стойки для оружия также могут быть установлены на транспортном средстве и могут безопасно и надежно перевозить одно или несколько пистолетов.","A gun rack is a rack for storing firearms such as rifles and pistols. The rack is typically equipped with locks to prevent theft or improper use. Gun Racks can also be mounted onto vehicle transportation and can carry one or more guns safely and securely.","A gun rack is a rack for storing firearms such as rifles and pistols. The rack is typically equipped with locks to prevent theft or improper use. Gun Racks can also be mounted onto vehicle transportation and can carry one or more guns safely and securely.","Una rastrelliera per contenere armi come fucili o pistole. Solitamente equipaggiati con lucchetti per impedire furti od usi impropri, possono anche essere montati su veicoli per il trasporto, e possono trasportare in sicurezza una o più armi","Un rack para almacenar armas de fuego como rifles y pistolas. El rack suele estar equipado con cerraduras para evitar robos o un uso inadecuado. Los racks para armas también se pueden montar en vehículos y pueden transportar una o más armas de forma segura.","Un rack d'armes est un rack pour stocker des armes à feu telles que des fusils et des pistolets. Le rack est généralement équipé de verrous pour empêcher le vol ou une mauvaise utilisation. Les supports d'armes à feu peuvent également être montés sur le transport de véhicules et peuvent transporter un ou plusieurs pistolets en toute sécurité.","槍架是用於存放步槍和手槍等火器的架子。該架通常配有鎖，以防止盜竊或不當使用。槍架也可以安裝在車輛上，可以安全地和牢固地攜帶一個或多個槍支。","A gun rack is a rack for storing firearms such as rifles and pistols. The rack is typically equipped with locks to prevent theft or improper use. Gun Racks can also be mounted onto vehicle transportation and can carry one or more guns safely and securely.","A gun rack is a rack for storing firearms such as rifles and pistols. The rack is typically equipped with locks to prevent theft or improper use. Gun Racks can also be mounted onto vehicle transportation and can carry one or more guns safely and securely.","枪架是用于存放步枪和手枪等枪支的架子。机架通常配有锁，以防止被盗或使用不当。枪架还可以安装在车辆运输工具上，可以安全可靠地携带一或多支枪。",
"STR_EXPANSION_HELIPAD","Helipad","Helipad","Helipad","Hubschrauberlandeplatz","Вертолётная площадка","Lądowisko Dla Helikopterów","Helikopter leszállóhely","Piattaforma per Elicotteri","Helipuerto","Héliport","直升機停機坪","Heliporto","ヘリパッド","直升机停机坪",
"STR_EXPANSION_HELIPAD_DESC","A helipad is a landing area or platform for helicopters and powered lift aircraft.","A helipad is a landing area or platform for helicopters and powered lift aircraft.","Přistávací plocha pro helikoptéru.","Ein perfekter Landeplatz für einen Helikopter.","Вертолётная площадка — посадочная площадка для взлёта и посадки вертолётов","Lądowisko dla helikopterów to lądowisko lub platforma dla śmigłowców i samolotów z napędem silnikowym.","A helipad is a landing area or platform for helicopters and powered lift aircraft.","Una piattaforma dedita al decollo e/o atterraggio di Elicotteri e VTOL","Un Helipuerto es una zona de aterrizaje para helicopteros.","Un héliport est une zone d'atterrissage ou une plate-forme pour les hélicoptères et les avions à sustentation motorisée.","直升機停機坪是直升機和噴力飛機的著陸區域或平台。","Um heliponto é uma área ou plataforma de pouso para helicópteros e aeronaves de elevação motorizada.","A helipad is a landing area or platform for helicopters and powered lift aircraft.","直升机停机坪是直升机和动力升降飞机的着陆区或平台，它能够帮助飞行员在高空提前确定着陆方位。",
"STR_EXPANSION_HESCO","Long Hesco","Long Hesco","Long Hesco","Sandsäcke","Барьер HESCO","Long Hesco","Long Hesco","Hesco Lungo","Hesco largo","Long Hesco","長Hesco","Long Hesco","Long Hesco","长掩体",
"STR_EXPANSION_HESCO_DESC","Hesco barriers are a modern gabion primarily used for flood control and military fortifications.","Hesco barriers are a modern gabion primarily used for flood control and military fortifications.","Hesco barriers are a modern gabion primarily used for flood control and military fortifications.","Sandsäcke bieten eine nützliche Deckung oder sonstige Verwendung.","Барьеры Hesco - это современные габионы, которые в основном используются для защиты от наводнений и военных укреплений.","Hesco barriers are a modern gabion primarily used for flood control and military fortifications.","Hesco barriers are a modern gabion primarily used for flood control and military fortifications.","Le barriere Hesco sono moderne strutture usate per costruire argini per il controllo delle piene, o fortificazioni.","Las barreras Hesco son un gavión moderno que se utiliza principalmente para el control de inundaciones y fortificaciones militares.","Les barrières Hesco sont un gabion moderne principalement utilisé pour le contrôle des inondations et les fortifications militaires.","Hesco障礙是一種現代的圍網結構，主要用於防洪和軍事堡壘。","Hesco barriers are a modern gabion primarily used for flood control and military fortifications.","Hesco barriers are a modern gabion primarily used for flood control and military fortifications.","掩体屏障是一种现代的石笼网，主要用于防洪和军事防御工事。",
"STR_EXPANSION_HESCO_KIT","Long Hesco Kit","Long Hesco Kit","Long Hesco Kit","Sandsäcke-Kit","Комплект барьера Hesco","Long Hesco Kit","Long Hesco Kit","Hesco Kit Lungo","Kit Hesco largo","Kit long Hesco","長Hesco套件","Long Hesco Kit","Long Hesco Kit","长掩体套件",
"STR_EXPANSION_MEDICAL_AIRDROP","Medical Airdrop","Medical Airdrop","Zdravotnický výsadek","Medizin-Airdrop","Сброс медицинского груза","Zrzut Medyczny","Egészségügyi kellék Airdrop","Airdrop Medico","Suministros aéreos médicos","Larguage aérien médical","醫療空投","Caixa de Suprimentos Médicos","医療エアードロップ","医疗空投",
"STR_EXPANSION_MILITARY_AIRDROP","Military Airdrop","Military Airdrop","Vojenský výsadek","Militär-Airdrop","Сброс военного груза","Zrzut Wojskowy","Katonai Airdrop","Airdrop Militare","Suministros aéreos médicos","Larguage aérien militaire","軍事空投","Caixa de Suprimentos Militares","軍事エアードロップ","军事空投",
"STR_EXPANSION_SIGN_DANGER","Danger Sign","Danger Sign","Značka nebezpečí","Warnschild","Знак опасности","Danger Sign","Danger Sign","Cartello di Pericolo","Señal de Peligro","Panneau danger","危險標誌","Danger Sign","Danger Sign","危险标志",
"STR_EXPANSION_SIGN_DANGER_DESC",,,,"Achtung.",,,,,,,,,,"一种警告他人此处不宜逗留的标志牌。",
"STR_EXPANSION_SIGN_ROADBARRIER","Road Barrier","Road Barrier","Silniční bariéra","Straßenblockade","Дорожный барьер","Road Barrier","Road Barrier","Barriera Stradale","Road Barrier","Barrière routière","道路障礙","Road Barrier","Road Barrier","路障",
"STR_EXPANSION_SIGN_ROADBARRIER_DESC",,,,,,,,,,,,,,"如果合理的使用路障，可以让快速行驶的汽车被迫改道甚至停车掉头。",
"STR_EXPANSION_SPRAYCAN_BLUELINE_NAME","Spray can - MH6 - Blueline","Spray can - MH6 - Blueline","Sprej - MH6 - Modrá Linka","Sprühflasche - MH6 - Blueline","Баллончик с краской - MH6 - Синяя линия","Spray - MH6 - Blueline","Spray can - MH6 - Blueline","Bomboletta Spray - MH6 - Linea Blu","Lata de pintura - MH6 - Linea azul","Bombe de peinture - MH6 - Blueline","噴漆罐 - MH6 - 藍線","Tintura - MH6 - Linha Azul","スプレー缶・MH6・Blueline","喷雾罐 - MH6 - Blueline",
"STR_EXPANSION_SPRAYCAN_CIVILIAN_NAME","Spray can - UH1H - Civilian","Spray can - UH1H - Civilian","Sprej - UH1H - civilní","Sprühflasche - UH1H - Civilian","Баллончик с краской - UH1H - Гражданский","Spray - UH1H - Cywilny","Spray can - UH1H - Civilian","Bomboletta Spray - UH1H - Civile","Lata de pintura - UH1H - Civil","Bombe de peinture - UH1H - Civilian","噴漆罐 - UH1H - 民用","Tintura - UH1H - Civil","スプレー缶・UH1H・Civilian","喷雾罐 - UH1H - 民用",
"STR_EXPANSION_SPRAYCAN_CamoMedical_NAME","Spray can - Vodnik - Camo Medical","Spray can - Vodnik - Camo Medical","Sprej - Vodnik - Camo Medical","Sprühflasche - Vodnik - Camo Medical","Баллончик с краской - Водник - Камо Медицинский","Spray can - Vodnik - Camo Medical","Spray can - Vodnik - Camo Medical","Bomboletta Spray - Vodnik - Camo Medico","Lata de pintura - Vodnik - Camo Medical","Bombe de peinture - Vodnik - Camo Medical","噴漆罐 - Vodnik - 迷彩醫療","Spray can - Vodnik - Camo Medical","Spray can - Vodnik - Camo Medical","喷雾罐 - Vodnik - Camo Medical",
"STR_EXPANSION_SPRAYCAN_Camo_NAME","Spray can - Vodnik - Camo","Spray can - Vodnik - Camo","Sprej - Vodnik - Camo","Sprühflasche - Vodnik - Camo","Баллончик с краской - Водник - Камо","Spray can - Vodnik - Camo","Spray can - Vodnik - Camo","Bomboletta Spray - Vodnik - Camo","Lata de pintura - Vodnik - Camo","Bombe de peinture - Vodnik - Camo","噴漆罐 - Vodnik - 迷彩","Spray can - Vodnik - Camo","Spray can - Vodnik - Camo","喷雾罐 - Vodnik - 迷彩",
"STR_EXPANSION_SPRAYCAN_DAHOMAN_NAME","Spray can - Merlin - Dahoman","Spray can - Merlin - Dahoman","Sprej - Merlin - Dahoman","Sprühflasche - Merlin - Dahoman","Баллончик с краской - Merlin - Dahoman","Spray - Merlin - Dahoman","Spray can - Merlin - Dahoman","Bomboletta Spray - Merlin - Dahoman","Lata de pintura - Merlin - Dahoman","Bombe de peinture - Merlin - Dahoman","噴漆罐 - 梅林 - 達荷曼","Tintura - Merlin - Dahoman","スプレー缶・Merlin・Dahoman","喷雾罐 - 梅林 - 达荷曼",
"STR_EXPANSION_SPRAYCAN_DIGITAL_NAME","Spray can - MH6 - Digital","Spray can - MH6 - Digital","Sprej - MH6 - Digitální","Sprühflasche - MH6 - Digital","Баллончик с краской - MH6 - Цифровой","Spray - MH6 - Digital","Spray can - MH6 - Digital","Bomboletta Spray - MH6 - Digitale","Lata de pintura - MH6 - Digital","Bombe de peinture - MH6 - Digital","噴漆罐 - MH6 - 數字","Tintura - MH6 - Digital","スプレー缶・MH6・Digital","喷雾罐 - MH6 - 数字",
"STR_EXPANSION_SPRAYCAN_Elliptical_NAME","Spray can - MH6 - Elliptical","Spray can - MH6 - Elliptical","Sprej - MH6 - Eliptický","Sprühflasche - MH6 - Elliptical","Баллончик с краской - MH6 - Эллиптический","Spray - MH6 - Elliptical","Spray can - MH6 - Elliptical","Bomboletta Spray - MH6 - Ellittica","Lata de pintura - MH6 - Elíptico","Bombe de peinture - MH6 - Elliptical","噴漆罐 - MH6 - 橢圓形","Tintura - MH6 - Elliptical","スプレー缶・MH6・Elliptical","喷雾罐 - MH6 - 椭圆",
"STR_EXPANSION_SPRAYCAN_FURIOUS_NAME","Spray can - MH6 - Furious","Spray can - MH6 - Furious","Sprej - MH6 - Furious","Sprühflasche - MH6 - Furious","Баллончик с краской - MH6 - Ярость","Spray - MH6 - Furious","Spray can - MH6 - Furious","Bomboletta Spray - MH6 - Furiosa","Lata de pintura - MH6 - Furioso","Bombe de peinture - MH6 - Furious","噴漆罐 - MH6 - 憤怒","Tintura - MH6 - Furioso","スプレー缶・MH6・Furious","喷雾罐 - MH6 - Furious",
"STR_EXPANSION_SPRAYCAN_GRAYWATCHER_NAME","Spray can - MH6 - Gray Watcher","Spray can - MH6 - Gray Watcher","Sprej - MH6 - Šedý Strážce","Sprühflasche - MH6 - Gray Watcher","Баллончик с краской - MH6 - Серый Страж","Spray - MH6 - Gray Watcher","Spray can - MH6 - Gray Watcher","Bomboletta Spray - MH6 - Guardiano Grigio","Lata de pintura - MH6 - Observador Gris","Bombe de peinture - MH6 - Gray Watcher","噴漆罐 - MH6 - 灰色守衛","Tintura - MH6 - Observador Cinza","スプレー缶・MH6・Gray Watcher","喷雾罐 - MH6 - Grey Watcher",
"STR_EXPANSION_SPRAYCAN_ION_NAME","Spray can - Merlin - Ion","Spray can - Merlin - Ion","Sprej - Merlin - Ion","Sprühflasche - Merlin - Ion","Баллончик с краской - Merlin - Ион","Spray - Merlin - Ion","Spray can - Merlin - Ion","Bomboletta Spray - Merlin - Ion","Lata de pintura - Merlin - Ion","Bombe de peinture - Merlin - Ion","噴漆罐 - 梅林 - 爾曼","Tintura - Merlin - Ion","スプレー缶・Merlin・Ion","喷雾罐 - Merlin - Ion",
"STR_EXPANSION_SPRAYCAN_JEANS_NAME","Spray can - MH6 - Jeans","Spray can - MH6 - Jeans","Sprej - MH6 - Jeans","Sprühflasche - MH6 - Jeans","Баллончик с краской - MH6 - Джинсы","Spray - MH6 - Jeans","Spray can - MH6 - Jeans","Bomboletta Spray - MH6 - Jeans","Lata de pintura - MH6 - Jeans","Bombe de peinture - MH6 - Jeans","噴漆罐 - MH6 - 牛仔","Tintura - MH6 - Jeans","スプレー缶・MH6・Jeans","喷雾罐 - MH6 - 牛仔裤",
"STR_EXPANSION_SPRAYCAN_MEDICAL_NAME","Spray can - UH1H - Medical","Spray can - UH1H - Medical","Sprej - UH1H - Zdravotnický","Sprühflasche - UH1H - Medical","Баллончик с краской - UH1H - Медицинский","Spray - UH1H - Medyczny","Spray can - UH1H - Medical","Bomboletta Spray - UH1H - Medico","Lata de pintura - UH1H - Medico","Bombe de peinture - UH1H - Medical","噴漆罐 - UH1H - 醫療","Tintura - UH1H - Médico","スプレー缶・UH1H・Medical","喷雾罐 - UH1H - 医疗",
"STR_EXPANSION_SPRAYCAN_PRESIDENT_NAME","Spray can - Merlin - President","Spray can - Merlin - President","Sprej - Merlin - Prezident","Sprühflasche - Merlin - Präsident","Баллончик с краской - Merlin - Президентський","Spray - Merlin - President","Spray can - Merlin - President","Bomboletta Spray - Merlin - Presidente","Lata de pintura - Merlin - Presidente","Bombe de peinture - Merlin - President","噴漆罐 - 梅林 - 總統","Tintura - Merlin - Presidente","スプレー缶・Merlin・President","喷雾罐 - Merlin - 总裁",
"STR_EXPANSION_SPRAYCAN_RESISTANCE_NAME","Spray can - MH6/UH1H - Resistance","Spray can - MH6/UH1H - Resistance","Sprej - MH6/UH1H - Odboj","Sprühflasche - MH6/UH1H - Resistance","Баллончик с краской - MH6/UH1H - Resistance","Spray - MH6/UH1H - Resistance","Spray can - MH6/UH1H - Resistance","Bomboletta Spray - MH6/UH1H - Resistenza","Lata de pintura - MH6/UH1H - Resistencia","Bombe de peinture - MH6/UH1H - Résistance","噴漆罐 - MH6/UH1H - 抵抗","Tintura - MH6/UH1H - Resistência","スプレー缶・MH6/UH1H・Resistance","喷雾罐 - MH6/UH1H - 电阻",
"STR_EXPANSION_SPRAYCAN_SHADOW_NAME","Spray can - MH6 - Shadow","Spray can - MH6 - Shadow","Sprej - MH6 - Stín","Sprühflasche - MH6 - Shadow","Баллончик с краской - MH6 - Тень","Spray - MH6 - Shadow","Spray can - MH6 - Shadow","Bomboletta Spray - MH6 - Ombra","Lata de pintura - MH6 - Sombra","Bombe de peinture - MH6 - Shadow","噴漆罐 - MH6 - 影子","Tintura - MH6 - Sombra","スプレー缶・MH6・Shadow","喷雾罐 - MH6 - Shadow",
"STR_EXPANSION_SPRAYCAN_SHERIFF_NAME","Spray can - MH6 - Sheriff","Spray can - MH6 - Sheriff","Sprej - MH6 - Sheriff","Sprühflasche - MH6 - Sheriff","Баллончик с краской - MH6 - Шериф","Spray can - MH6 - Sheriff","Spray can - MH6 - Sheriff","Bomboletta Spray - MH6 - Sceriffo","Spray can - MH6 - Sheriff","Bombe de peinture - MH6 - Sheriff","噴漆罐 - MH6 - 警長","Spray can - MH6 - Sheriff","Spray can - MH6 - Sheriff","喷雾罐 - MH6 - Sheriff",
"STR_EXPANSION_SPRAYCAN_SPEEDY_NAME","Spray can - MH6 - Speedy","Spray can - MH6 - Speedy","Sprej - MH6 - Speedy","Sprühflasche - MH6 - Speedy","Баллончик с краской - MH6 - Скорость","Spray - MH6 - Speedy","Spray can - MH6 - Speedy","Bomboletta Spray - MH6 - Velocissimo","Lata de pintura - MH6 - Veloz","Bombe de peinture - MH6 - Speedy","噴漆罐 - MH6 - 迅捷","Tintura - MH6 - Speedy","スプレー缶・MH6・Speedy","喷雾罐 - MH6 - Speedy",
"STR_EXPANSION_SPRAYCAN_SUNSET_NAME","Spray can - MH6 - Sunset","Spray can - MH6 - Sunset","Sprej - MH6 - Západ Slunce","Sprühflasche - MH6 - Sunset","Баллончик с краской - MH6 - Закат","Spray - MH6 - Sunset","Spray can - MH6 - Sunset","Bomboletta Spray - MH6 - Tramonto","Lata de pintura - MH6 - Puesta de sol","Bombe de peinture - MH6 - Sunset","噴漆罐 - MH6 - 日落","Tintura - MH6 - Pôr do Sol","スプレー缶・MH6・Sunset","喷雾罐 - MH6 - 日落",
"STR_EXPANSION_SPRAYCAN_UBER_NAME","Spray can - UH1H - Uber","Spray can - UH1H - Uber","Sprej - UH1H - Uber","Sprühflasche - UH1H - Uber","Баллончик с краской - UH1H - Uber","Spray - UH1H - Uber","Spray can - UH1H - Uber","Bomboletta Spray - UH1H - Uber","Lata de pintura - UH1H - Uber","Bombe de peinture - UH1H - Uber","噴漆罐 - UH1H - 雨伞","Tintura - UH1H - Uber","スプレー缶・UH1H・Uber","喷雾罐 - UH1H - 优步",
"STR_EXPANSION_SPRAYCAN_VRANA_NAME","Spray can - MH6/Merlin - Vrana","Spray can - MH6/Merlin - Vrana","Sprej - MH6/Merlin - Vrana","Sprühflasche - MH6/Merlin - Vrana","Баллончик с краской - MH6/Merlin - Врана","Spray - MH6/Merlin - Vrana","Spray can - MH6/Merlin - Vrana","Bomboletta Spray - MH6/Merlin - Vrana","Lata de pintura - MH6/Merlin - Vrana","Bombe de peinture - MH6/Merlin - Vrana","噴漆罐 - MH6/Merlin - 瓦拉纳","Tintura - MH6/Merlin - Vrana","スプレー缶・MH6/Merlin・Vrana","喷雾罐 - MH6/Merlin - Vrana",
"STR_EXPANSION_SPRAYCAN_WASP_NAME","Spray can - MH6 - Wasp","Spray can - MH6 - Wasp","Sprej - MH6 - Osa","Sprühflasche - MH6 - Wasp","Баллончик с краской - MH6 - Оса","Spray - MH6 - Wasp","Spray can - MH6 - Wasp","Bomboletta Spray - MH6 - Vespa","Lata de pintura - MH6 - Avispa","Bombe de peinture - MH6 - Wasp","噴漆罐 - MH6 - 黄蜂","Tintura - MH6 - Vespa","スプレー缶・MH6・Wasp","喷雾罐 - MH6 - 黄蜂",
"STR_EXPANSION_SPRAYCAN_WAVE_NAME","Spray can - MH6/Merlin - Wave","Spray can - MH6/Merlin - Wave","Sprej - MH6/Merlin - Vlna","Sprühflasche - MH6/Merlin - Wave","Баллончик с краской - MH6/Merlin - Волна","Spray - MH6/Merlin - Wave","Spray can - MH6/Merlin - Wave","Bomboletta Spray - MH6/Merlin - Onda","Lata de pintura - MH6/Merlin - Onda","Bombe de peinture - MH6/Merlin - Wave","噴漆罐 - MH6/Merlin - 波浪","Tintura - MH6/Merlin - Onda","スプレー缶・MH6/Merlin・Wave","喷雾罐 - MH6/Merlin - Wave",
