"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_BB_CONCRETE_BASE","Concrete Base","Concrete Base","Betonové základy","Holzwand","Бетонная стена","Betonowa Ściana","Beton alap","Base di Cemento","Pared de madera","Base de béton","混凝土基座","木製の壁","Base de Concreto","混凝土基础",
"STR_EXPANSION_BB_CONCRETE_DOOR_FINISHED","Concrete Door","Concrete Door","Betonové dveře","Holztür","Деревянная дверь","Betonowe Drzwi","Beton ajtó","Porta di Cemento","Puerta de madera","Porte en béton","混凝土門","木製のドア","Porta de Concreto","混凝土门",
"STR_EXPANSION_BB_CONCRETE_DOOR_FRAME","Concrete Door Frame","Concrete Door Frame","Rám pro betonové dveře","Holztürrahmen","Деревянная дверь (рама)","Betonowa Ramka Do Drzwi","Beton ajtó keret","Telaio Porta di Cemento","Marco de puerta de madera","Cadre de porte en béton","混凝土門框","木製のドアの枠組み","Armação Porta de Concreto","混凝土单门框",
"STR_EXPANSION_BB_CONCRETE_FLOOR_FINISHED","Concrete Floor","Concrete Floor","Betonová podlaha","Holzboden","Деревянный пол","Betonowa Podłoga","Beton padló alap","Pavimento in Cemento","Suelo de madera","Sol en béton","混凝土地板","木製の床","Chão de Concreto","混凝土楼板",
"STR_EXPANSION_BB_CONCRETE_FLOOR_FRAME","Concrete Floor Frame","Concrete Floor Frame","Rám pro betonovou podlahu","Holzbodenrahmen","Деревянный пол (рама)","Betonowa Ramka Podłogi","Beton padló alap","Telaio Pavimento in Cemento","Marco del suelo de madera","Cadre de sol en béton","混凝土地板框架","木製の床の枠組み","Armação Chão de Concreto","混凝土地板框架",
"STR_EXPANSION_BB_CONCRETE_GATE_FINISHED","Concrete Gate","Concrete Gate","Betonová brána","Holztor","Деревянные ворота","Betonowa Brama","Beton kapu","Cancello di Cemento","Porton de madera","Portail en béton","混凝土大門","木製のゲート","Portão de Concreto","混凝土门",
"STR_EXPANSION_BB_CONCRETE_GATE_FRAME","Concrete Gate Frame","Concrete Gate Frame","Rám pro betonovou bránu","Holztorrahmen","Деревянные ворота (рама)","Betonowa Ramka Bramy","Beton kapu keret","Telaio Cancello di Cemento","Marco de porton de madera","Cadre de portail en béton","混凝土大門框架","木製のゲートの枠組み","Armação Portão de Concreto","混凝土双门框",
"STR_EXPANSION_BB_CONCRETE_HATCH_FINISHED","Concrete Hatch","Concrete Hatch","Betonový poklop","Holzluke","Деревянный люк","Betonowy Właz","Beton ablakos fal","Botola di Cemento","Escotilla de madera","Trappe en béton","混凝土舱口","木製ハッチ","Escotilha de Concreto","混凝土舱口盖",
"STR_EXPANSION_BB_CONCRETE_HATCH_FRAME","Concrete Hatch Frame","Concrete Hatch Frame","Rám pro betonový poklop","Holzlukenrahmen","Деревянный люк (рама)","Betonowa Ramka Włazu","Beton ablakos fal keret","Telaio Botola di Cemento","Marco de la escotilla de madera","Cadre de trappe en béton","混凝土舱口框架","木製ハッチの枠組み","Armação Escotilha de Concreto","混凝土舱口框架",
"STR_EXPANSION_BB_CONCRETE_PILLAR","Concrete Pillar","Concrete Pillar","Betonový sloup","Holzpfeiler","Бетонный столб","Betonowy Filar","Beton oszlop","Colonna di Cemento","Pilar de madera","Pilier en béton","混凝土支柱","木製の柱","Pilar de Concreto","混凝土柱",
"STR_EXPANSION_BB_CONCRETE_RAMP_FINISHED","Concrete Ramp","Concrete Ramp","Betonová rampa","Holzrampe","Бетонная рампа","Betonowa Rampa","Beton rámpa","Rampa di Cemento","Rampa de madera","Rampe en béton","混凝土坡道","木製スロープ","Rampa de Concreto","混凝土坡道",
"STR_EXPANSION_BB_CONCRETE_RAMP_FRAME","Concrete Ramp Frame","Concrete Ramp Frame","Rám pro betonovou rampu","Holzrampenrahmen","Бетонная рампа (рама)","Betonowa Ramka Rampy","Beton rámpa keret","Telaio Rampa di Cemento","Marco de rampa de madera","Cadre de rampe en béton","混凝土坡道框架","木製スロープの枠組み","Armação da Rampa de Concreto","混凝土坡道框架",
"STR_EXPANSION_BB_CONCRETE_WALL_FINISHED","Concrete Wall","Concrete Wall","Betonová stěna","Holzwand","Деревянная стена","Betonowa Ściana","Beton fal","Muro di Cemento","Pared de madera","Mur en béton","混凝土牆","木製の壁","Parede de Concreto","水泥墙",
"STR_EXPANSION_BB_CONCRETE_WALL_FRAME","Concrete Wall Frame","Concrete Wall Frame","Rám pro betonovou stěnu","Holzwandrahmen","Деревянная стена (рама)","Betonowa Ramka Ściany","Beton fal keret","Telaio Muro di Cemento","Marco de pared de madera","Cadre de mur en béton","混凝土牆框架","木製の壁の枠組み","Armação Parede de Concreto","混凝土墙架",
"STR_EXPANSION_BB_CONCRETE_WINDOW_FINISHED","Concrete Window","Concrete Window","Betonové okno","Holzfenster","Деревянное окно","Betonowe Okno","Beton ablak","Finestra di Cemento","Ventana de madera","Fenêtre en béton","混凝土窗戶","木製の窓","Janela de Concreto","混凝土窗",
"STR_EXPANSION_BB_CONCRETE_WINDOW_FRAME","Concrete Window Frame","Concrete Window Frame","Rám pro betonové okno","Holzfensterrahmen","Деревянное окно (рама)","Betonowa Ramka Okna","Beton ablak keret","Telaio Finestra di Cemento","Marco de ventana de madera","Cadre de fenêtre en béton","混凝土窗戶框架","木製の窓の枠組み","Armação Janela de Concreto","混凝土窗框",
"STR_EXPANSION_BB_DOOR","Door","Door","Dveře","Tür","Дверь","Drzwi","Ajtó","Porta","Puerta","Porte","門","ドア","Porta","门",
"STR_EXPANSION_BB_FLAG_CHANGE","Change Flag","Change Flag","Změnit vlajku","Flagge ändern","Сменить флаг","Change Flag","Change Flag","Cambia Bandiera","Cambiar Bandera","Changer de drapeau","更改旗幟","Change Flag","Change Flag","更改标志",
"STR_EXPANSION_BB_FLAG_CREATE_TERRITORY","Create Territory","Create Territory","Vytvořit území","Territorium erstellen","Создать территорию","Create Territory","Create Territory","Crea Territorio","Crear Territorio","Créer un territoire","建立領地","Create Territory","Create Territory","创建区域",
"STR_EXPANSION_BB_FLOOR_3X3_PLACE","3x3m Floor","3x3m Floor","Podlaha 3x3 metru","3 x 3 m Boden","3x3м Пол","Podłoga 3x3m","3x3m Floor","pavimento 3x3m","3x3m Suelo","Sol de 3x3 mètres","3x3米地板","3x3m Floor","3x3m Piso","3x3m 地板",
"STR_EXPANSION_BB_FLOOR_3X6_PLACE","3x6m Floor","3x6m Floor","Podlaha 3x6 metru","3 x 6 m Boden","3x6м Пол","Podłoga 3x6m","3x6m Floor","pavimento 3x6m","3x6m Suelo","Sol de 3x6 mètres","3x6米地板","3x6m Floor","3x6m Piso","3x6m 地板",
"STR_EXPANSION_BB_FLOOR_6X6_PLACE","6x6m Floor","6x6m Floor","Podlaha 6x6 metru","6 x 6 m Boden","6x6м Пол","Podłoga 6x6m","6x6m Floor","pavimento 6x6m","6x6m Suelo","Sol de 6x6 mètres","6x6米地板","6x6m Floor","6x6m Piso","6x6m 地板",
"STR_EXPANSION_BB_FLOOR_BASE","Floor Base","Floor Base","Základy pro podlahu","Boden-Basis","Основание пола","Podstawa podłogi","Padló alap","Base Pavimento","Base del suelo","Base de sol","地板基座","Floor Base","Piso Base","地板底座",
"STR_EXPANSION_BB_FLOOR_KIT","Floor Kit","Floor Kit","Kit pro podlahu","Holzbodenset","Деревянный пол (набор)","Zestaw Do Drewnianej Podłogi","Padló kit","Kit pavimento","Kit de suelo de madera","Kit de sol","地板套件","木製床キット","Conjunto Chão","木地板工具包",
"STR_EXPANSION_BB_FLOOR_KIT_DESC","Used to plot the position of a floor and its layout","Used to plot the position of a floor and its layout","Pro vyhrazení místa na podlahu.","Wird genutzt, um die Position des Holzbodens festzulegen","Используется для выбора расположения деревянного пола.","Używane do ustawienia pozycji drewnianej podłogi i jej układu","A padló helyzetének és elrendezésének ábrázolására szolgál","Utilizzato per definire la posizione ed il layout di un pavimento","Usado para delimitar la posición del suelo de madera","Utilisé pour positionner un sol","用於標示地板位置及其佈局","木製の床を配置するのに利用できます","Usado para delimitar a posição do Chão de Madeira","用来绘制木地板的位置和布局",
"STR_EXPANSION_BB_FOUNDATION_3X3_PLACE","3x3m Foundation","3x3m Foundation","3x3m základ","3 x 3 m Fundament","3x3м Основа","3x3m Foundation","3x3m Foundation","Fondamenta 3x3m","3x3m Fundación","Foundation de 3x3 mètres","3x3米地基","3x3m Foundation","3x3m Foundation","3x3m 基础套件",
"STR_EXPANSION_BB_FOUNDATION_3X6_PLACE","3x6m Foundation","3x6m Foundation","3x6m základ","3 x 6 m Fundament","3x6м Основа","3x6m Foundation","3x6m Foundation","Fondamenta 3x6m","3x6m Fundación","Foundation de 3x6 mètres","3x6米地基","3x6m Foundation","3x6m Foundation","3x6m 基础套件",
"STR_EXPANSION_BB_FOUNDATION_6X6_PLACE","6x6m Foundation","6x6m Foundation","6x6m základ","6 x 6 m Fundament","6x6м Основа","6x6m Foundation","6x6m Foundation","Fondamenta 6x6m","6x6m Fundación","Foundation de 6x6 mètres","6x6米地基","6x6m Foundation","6x6m Foundation","6x6m 基础套件",
"STR_EXPANSION_BB_FOUNDATION_KIT","Foundation Kit","Foundation Kit","Kit základu","Fundament-Kit","Набор для фундамента","Foundation Kit","Foundation Kit","Kit Fondamenta","Kit de fundación","Kit de foundation","地基套件","Foundation Kit","Foundation Kit","基础套件",
"STR_EXPANSION_BB_FOUNDATION_KIT_DESC","Used to plot the position of a foundation and its layout","Used to plot the position of a foundation and its layout","Používá se k vykreslení polohy základu a jeho rozložení","Wird gebraucht, um ein Fundament zu errichten.","Используется для построения положения фундамента и его планировки.","Used to plot the position of a foundation and its layout","Used to plot the position of a foundation and its layout","Utilizzato per definire la posizione delle fondamenta ed il loro layout","Usado para delimitar la posición del fundación de madera","Utilisé pour positionner une foundation","用於標示地基位置及其佈局","Used to plot the position of a foundation and its layout","Used to plot the position of a foundation and its layout","用于标绘地基的位置及其布局",
"STR_EXPANSION_BB_GATE","Gate","Gate","Brána","Tor","Ворота","Brama","Kapu","Cancello","Portón","Porte","大門","ゲート","Portão","门",
"STR_EXPANSION_BB_METAL_BASE","Metal Base","Metal Base","Kovové základy","Holzwand","Металлическая стена","Metalowa Ściana","Vas alap","Base di Metallo","Pared de madera","Base de métal","金屬基座","木製の壁","Base de Metal","金属底座",
"STR_EXPANSION_BB_METAL_DOOR_FINISHED","Metal Door","Metal Door","Kovové dveře","Holztür","Деревянная дверь","Metalowe Drzwi","Vas ajtó","Porta di Metallo","Puerta de madera","Porte en métal","金屬門","木製のドア","Porta de Metal","金属门",
"STR_EXPANSION_BB_METAL_DOOR_FRAME","Metal Door Frame","Metal Door Frame","Rám pro kovové dveře","Holztürrahmen","Деревянная дверь (рама)","Metalowa Ramka  Do Drzwi","Vas ajtó keret","Telaio Porta di Metallo","Marco de puerta de madera","Cadre de porte en métal","金屬門框","木製のドアの枠組み","Armação Porta de Metal","金属单门框",
"STR_EXPANSION_BB_METAL_FLOOR_FINISHED","Metal Floor","Metal Floor","Kovová podlaha","Holzboden","Деревянный пол","Metalowa Podłoga","Vas padló","Pavimento in Metallo","Suelo de madera","Sol en métal","金屬地板","木製の床","Chão de Metal","金属地板",
"STR_EXPANSION_BB_METAL_FLOOR_FRAME","Metal Floor Frame","Metal Floor Frame","Rám pro kovovou podlahu","Holzbodenrahmen","Деревянный пол (рама)","Metalowa Ramka Podłogi","Vas padló keret","Telaio pavimento in Metallo","Marco del suelo de madera","Cadre de sol en métal","金屬地板框架","木製の床の枠組み","Armação Chão de Metal","金属地板框架",
"STR_EXPANSION_BB_METAL_GATE_FINISHED","Metal Gate","Metal Gate","Kovová brána","Holztor","Деревянные ворота","Metalowa Brama","Vas kapu","Cancello di Metallo","Porton de madera","Portail en métal","金屬大門","木製のゲート","Portão de Metal","金属门",
"STR_EXPANSION_BB_METAL_GATE_FRAME","Metal Gate Frame","Metal Gate Frame","Rám pro kovovou bránu","Holztorrahmen","Деревянные ворота (рама)","Metalowa Ramka Bramy","Vas kapu keret","Telaio Cancello di Metallo","Marco de porton de madera","Cadre de portail en métal","金屬大門框架","木製のゲートの枠組み","Armação Portão de Metal","金属双门框",
"STR_EXPANSION_BB_METAL_HATCH_FINISHED","Metal Hatch","Metal Hatch","Kovový poklop","Holzluke","Деревянный люк","Metalowy Właz","Vas ablakos fal","Botola di metallo","Escotilla de madera","Trappe en métal","金屬舱口","木製ハッチ","Escotilha de Metal","金属舱口盖",
"STR_EXPANSION_BB_METAL_HATCH_FRAME","Metal Hatch Frame","Metal Hatch Frame","Rám pro kovový poklop","Holzlukenrahmen","Деревянный люк (рама)","Metalowa Ramka Włazu","Vas ablakos fal keret","Telaio Botola di Metallo","Marco de la escotilla de madera","Cadre de trappe en métal","金屬舱口框架","木製ハッチの枠組み","Armação Escotilha de Metal","金属舱口框架",
"STR_EXPANSION_BB_METAL_PILLAR","Metal Pillar","Metal Pillar","Kovový sloup","Holzpfeiler","Металлический столб","Metalowy Filar","Vas oszlop","Colonna di Metallo","Pilar de madera","Pilier en métal","金屬支柱","木製の柱","Pilar de Metal","金属柱",
"STR_EXPANSION_BB_METAL_RAMP_FINISHED","Metal Ramp","Metal Ramp","Kovová rampa","Holzrampe","Металлическая рампа","Metalowa Rampa","Vas rámpa","Rampa di Metallo","Rampa de madera","Rampe métallique","金屬坡道","木製スロープ","Rampa de Metal","金属坡道",
"STR_EXPANSION_BB_METAL_RAMP_FRAME","Metal Ramp Frame","Metal Ramp Frame","Rám pro kovovou rampu","Holzrampenrahmen","Металлическая рампа (рама)","Metalowa Ramka Rampy","Vas rámpa alap","Telaio Rampa di Metallo","Marco de rampa de madera","Cadre de rampe en métal","金屬坡道框架","木製スロープの枠組み","Armação da Rampa de Metal","金属坡道框架",
"STR_EXPANSION_BB_METAL_WALL_FINISHED","Metal Wall","Metal Wall","Kovová stěna","Holzwand","Деревянная стена","Metalowa Ściana","Vas fal","Muro di Metallo","Pared de madera","Mur en métal","金屬牆","木製の壁","Parede de Metal","金属墙",
"STR_EXPANSION_BB_METAL_WALL_FRAME","Metal Wall Frame","Metal Wall Frame","Rám pro kovovou stěnu","Holzwandrahmen","Деревянная стена (рама)","Metalowa Ramka Ściany","Vas fal keret","Telaio Muro di Metallo","Marco de pared de madera","Cadre de mur en métal","金屬牆框架","木製の壁の枠組み","Armação Parede de Metal","金属墙架",
"STR_EXPANSION_BB_METAL_WINDOW_FINISHED","Metal Window","Metal Window","Kovové okno","Holzfenster","Деревянное окно","Metalowe Okno","Vas ablak","Finestra di Metallo","Ventana de madera","Fenêtre en métal","金屬窗戶","木製の窓","Janela de Metal","金属窗",
"STR_EXPANSION_BB_METAL_WINDOW_FRAME","Metal Window Frame","Metal Window Frame","Rám pro kovové okno","Holzfensterrahmen","Деревянное окно (рама)","Metalowa Ramka Okna","Vas ablak keret","Telaio Finestra di Metallo","Marco de ventana de madera","Cadre de fenêtre en métal","金屬窗戶框架","木製の窓の枠組み","Armação Janela de Metal","金属窗框",
"STR_EXPANSION_BB_PILLAR_KIT","Pillar Kit","Pillar Kit","Kit pro sloup","Holzpfeilerset","Деревянный столб (набор)","Zestaw Do Drewnianego Filara","Oszlop kit","Kit Colonna","Kit de pilar de madera","Kit de pilier","支柱套件","木製の柱キット","Conjunto Pilar","支柱套件",
"STR_EXPANSION_BB_PILLAR_KIT_DESC","Used to plot the position of a pillar and its layout","Used to plot the position of a pillar and its layout","Pro vyhrazení místa na sloup","Wird genutzt, um die Position der Holzpfeiler festzulegen","Используется для выбора расположения деревянного столба","Używany do ustawienia pozycji drewnianego filara i jego układu","Az oszlop helyzetének és elrendezésének ábrázolására szolgál","Utilizzato per definire la posizione ed il layout di una Colonna","Usado para delimitar la posición de un pilar de madera","Utilisé pour tracer la position d'un pilier et sa disposition","用於標示支柱位置及其佈局","木製の柱を配置するのに利用できます","Usado para delimitar a posição do Pilar de Madeira","用于绘制柱子的位置及其布局",
"STR_EXPANSION_BB_RAMP_3X1_5X6_PLACE","3x1 - 5x6m Ramp","3x1 - 5x6m Ramp","3x1 - 5x6m rampa","3 x 1 - 5 x 6 m Rampe","3x1 - 5x6м Рампа","Rampa 3x1 - 5x6m","3x1 - 5x6m Ramp","Rampa 3x1 - 5x6m","3x1 - 5x6m Rampa","3x1 - 5x6m Ramp","3x1 - 5x6米坡道","3x1 - 5x6m Ramp","3x1 - 5x6m Rampa","3x1 - 5x6m 坡道",
"STR_EXPANSION_BB_RAMP_6X1_5X6_PLACE","6x1 - 5x6m Ramp","6x1 - 5x6m Ramp","6x1 - 5x6m rampa","6 x 1 - 5 x 6 m Rampe","6x1 - 5x6м Рампа","Rampa 6x1 - 5x6m","6x1 - 5x6m Ramp","Rampa 6x1 - 5x6m","6x1 - 5x6m Rampa","6x1 - 5x6m Ramp","6x1 - 5x6米坡道","6x1 - 5x6m Ramp","6x1 - 5x6m Rampa","6x1 - 5x6m 坡道",
"STR_EXPANSION_BB_RAMP_BASE","Ramp Base","Ramp Base","Základy pro rampu","Rampe-Basis","Основание рампы","Podstawa Rampy","Rámpa alap","Base Rampa","Base de la rampa","Base de rampe","坡道基座","Ramp Base","Rampa Base","坡道基地",
"STR_EXPANSION_BB_RAMP_KIT","Ramp Kit","Ramp Kit","Kit pro rampu","Holzrampenset","Деревянная рампа (набор)","Zestaw Do Tworzenia Rampy","Rámpa kit","Kit Rampa","Kit de Rampa de Madera","Kit de rampe","坡道套件","木製スロープキット","Conjunto Rampa de Madeira","斜坡套件",
"STR_EXPANSION_BB_RAMP_KIT_DESC","Used to plot the position of a ramp and its layout","Used to plot the position of a ramp and its layout","Pro vyhrazení místa na rampu.","Wird genutzt, um die Position der Holzrampe festzulegen","Используется для выбора расположения деревянной рампы","Używany do ustawienia pozycji drewnianego filara i jego układu","A rámpák helyzetének és elrendezésének ábrázolására szolgál","Utilizzato per definire la posizione di una Rampa ed il layout","Usado para delimitar la posición de un rampa de madera","Utilisé pour tracer la position d'un pilier et sa disposition","用於標示坡道位置及其佈局","木製のスロープを配置するのに利用できます","Usado para delimitar a posição da Rampa de Madeira","用于绘制柱子的位置及其布局",
"STR_EXPANSION_BB_ROOF_KIT","Roof Kit","Roof Kit","Kit střechy","Holzdachset","Деревянная крыша (набор)","Roof Kit","Roof Kit","Kit Tetto","Kit de techo de madera","Kit de toit","屋頂套件","Roof Kit","Roof Kit","屋顶套件",
"STR_EXPANSION_BB_ROOF_KIT_DESC","Used to plot the position of a roof and its layout","Used to plot the position of a roof and its layout","Používá se k vykreslení polohy střechy a jejího rozložení","Wird genutzt, um die Position des Holzdachs festzulegen","Используется для построения схемы расположения крыши и ее планировки.","Used to plot the position of a roof and its layout","Used to plot the position of a roof and its layout","Utilizzato per definire la posizione ed il layout di un tetto","Usado para delimitar la posición del techo de madera","Utilisé pour tracer la position d'un toit et sa disposition","用於標示屋頂位置及其佈局","Used to plot the position of a roof and its layout","Used to plot the position of a roof and its layout","用于绘制屋顶的位置及其布局",
"STR_EXPANSION_BB_STAIR_BASE","Stair Base","Stair Base","Základy pro schody","Treppen-Basis","Основание лестницы","Podstawa Schodów","Lépcső alap","Base Scala","Base de las escaleras","Base d'escalier","樓梯基座","Stair Base","Escada Base","楼梯底座",
"STR_EXPANSION_BB_STAIR_KIT","Stair Kit","Stair Kit","Kit pro schody","Holztreppenset","Лестница (набор)","Zestaw do budowy schodów","Lémpcső kit","Kit per Scala","Kit de Escaleras de Madera","Kit d'escalier","樓梯套件","木製の階段","Conjunto Escada de Madeira","楼梯套件",
"STR_EXPANSION_BB_STAIR_KIT_DESC","Used to plot the position of a stairs and its layout","Used to plot the position of a stairs and its layout","Pro vyhrazení místa na schody.","Wird genutzt, um die Position der Holztreppe festzulegen","Используется для выбора расположения деревянной лестницы","Używany do ustawienia pozycji schodów i ich układu","A lépcsők helyzetének és elrendezésének ábrázolására szolgál","Utlizzato per definire la posizione di una scala ed il layout","Usado para delimitar la posición de un escaleras de madera","Utilisé pour tracer la position d'un pilier et sa disposition","用於標示樓梯位置及其佈局","木製の階段を配置するのに利用できます","Usaso para delimitar a posição da Escada de Madeira","用于绘制楼梯的位置及其布局",
"STR_EXPANSION_BB_WALL","Wall","Wall","Stěna","Wand","Стена","Ściana","Fal","Muro","Pared","Mur","牆壁","壁","Parede","墙",
"STR_EXPANSION_BB_WALL_BASE","Wall Base","Wall Base","Základy pro stěnu","Wand-Basis","Основание стены","Podstawa Ściany","Fal alap","Base Muro","base de la pared","Base de mur","牆壁基座","Wall Base","Parede Base","墙基",
"STR_EXPANSION_BB_WALL_KIT","Wall Kit","Wall Kit","Kit pro zeď","Holzwandset","Деревянная стена (набор)","Zestaw Do Drewnianej Ściany","Fal kit","Kit Muro","Kit de pared","Kit de mur","牆壁套件","木製壁キット","Conjunto Parede","木墙工作包",
"STR_EXPANSION_BB_WALL_KIT_DESC","Used to plot the position of a wall and its layout","Used to plot the position of a wall and its layout","Pro vyhrazení místa pro zeď.","Wird genutzt, um die Position der Holzwand festzulegen","Используется для выбора расположения деревянной стены","Używany do ustawienia pozycji drewnianej ściany i jej układu","A fal helyzetének és elrendezésének ábrázolására szolgál","Utilizzato per definire la posizione ed il layout di un muro","Usado para delimitar la posición de un pilar de madera","Utilisé pour positionner un mur","用於標示牆壁位置及其佈局","木製の壁を配置するのに利用できます","Usado para delimitar a posição da Parede de Madeira","用来绘制木墙的位置和布局",
"STR_EXPANSION_BB_WINDOW","Window","Window","Okno","Fenster","Окно","Okno","Ablak","Finestra","Ventana","Fenêtre","窗戶","窓","Janela","窗户",
"STR_EXPANSION_BB_WOOD_BASE","Wood Base","Wood Base","Dřevěné základy","Holzwand","Деревянная стена","Drewniana Ściana","Fa alap","Base di Legno","Pared de madera","Base de bois","木質基座","木製の壁","Base de Madeira","木质底座",
"STR_EXPANSION_BB_WOOD_DOOR_FINISHED","Wood Door","Wood Door","Dřevěné dveře","Holztür","Деревянная дверь","Drewniane Drzwi","Fa ajtó","Porta di Legno","Puerta de madera","Porte en bois","木質門","木製のドア","Porta de Madeira","木门",
