LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESESIMP,
STR_EXPANSION_MARKER_SYSTEM_NAME_LENGHT,Your marker name must contain between 3 and 32 characters!,Your marker name must contain between 3 and 32 characters!,Název značky musí být mezi 3 a 32 znaky!,Der Name der Markierung muss aus drei bis 32 Zeichen bestehen!,Название вашей метки должно состоять из 3-32 символов!,Liczba znaków w nazwie znacznika musi mieć pomiędzy 3 do 32 znaków!,"A jelölés neve 3-32 karakter között kell, hogy legyen.",Il tuo marcatore deve contenere tra 3 e 32 caratteri!,El nombre del marcador debe tener entre 3 y 32 caracteres,Le nom de ton marqueur doit contenir entre 3 & 32 caractères !,你的標記名稱必須包含3-32個字符！,A sua marcação deve conter entre 3 a 32 caracteres.,マーカーは3文字から32文字までです!,你的标记名称必须包含3-32个字符！,
STR_EXPANSION_MARKER_SYSTEM_ILLEGAL_CHARACTER,Your marker name contains an illegal character!,Your marker name contains an illegal character!,Název značky obsahuje neplatné znaky!,Der Name der Markierung enthält ein unerlaubtes Zeichen.,Название вашей метки содержит запрещённый символ!,Imię twojego znacznika zawiera niedozwolone znaki!,A jelölés neve nem elfogadott karaktert tartalmaz.,Il tuo marcatore contiene caratteri non consentiti!,¡El nombre contiene caracteres no permitidos!,Le nom de ton marqueur contient un caractère illégal !,你的標記名稱中包含非法字符！,O nome da sua marcação contém caracteres proibidos.,マーカーに不正文字が使用されています!,你的标记名称中包含非法字符！,
STR_EXPANSION_MARKER_SYSTEM_ADDED_MARKER,Map Marker %1 created!,Map Marker %1 created!,Značka %1 vytvořena!,Kartenmarkierung %1 erstellt!,Метка %1 создана!,Znacznik %1 stworzony!,Jelölő %1 létrehozva.,Marcatore %1 creato!,Marcador de mapa creado!,Marqueur de carte %1 créé !,地圖標記%1已被創建！,Marcação no mapa %1 criada.,マップマーカー %1 は正常に作成されました!,地图标记%1已被创建！,
STR_EXPANSION_MARKER_SYSTEM_REMOVED_MARKER,You have successfully removed a marker!,You have successfully removed a marker!,Značka úspěšně odstraněna!,Du hast erfolgreich eine Markierung entfernt!,Вы успешно удалили метку!,Usunąłeś/aś znacznik!,Sikeresen eltávolítottad a jelölőt.,Ha correttamente rimosso un marcatore!,¡El marcador ha sido removido exitosamente!,Tu as retiré un marqueur avec succès !,你成功移除了標記！,Você removeu com sucesso a marcação.,マップマーカーは正常に削除されました!,你成功移除了标记！,
STR_EXPANSION_MARKER_NO_MARKER_SELECTED,You need to select a marker icon first!,You need to select a marker icon first!,Je třeba nejdříve vybrat ikonu značky!,Du musst zuerst eine Markierung auswählen!,Вам необходимо сначала выбрать иконку метки!,Musisz wybrać ikonę znacznika!,Előbb ki kell választanod a jelölő ikont!,Seleziona un Icona prima!,¡Necesitas seleccionar un icono para el marcador antes!,Tu dois sélectionner une icone de marqueur en premier !,你需要首先選擇一個標記圖標！,Você precisa selecionar um ícone primeiro!,マーカー用アイコンを選択してください!,你需要首先选择一个标记图标！,
STR_EXPANSION_MARKER_NO_POSITION_SELECTED,No position selected! Double click at a location on the map to select one.,No position selected! Double click at a location on the map to select one.,Pozice musí být vybrána dvojitým klikem na mapu.,Keine Position ausgewählt! Doppelklicke auf die Karte.,Не выбрана позиция! Кликните дважды в нужном месте для выбора.,"Nie wybrano pozycji! Kliknij dwa razy na mapie, by wybrać pozycję.","Nem jelöltél ki pozíciót! Kattints duplán a térképen, hogy kiválaszd a jelölő pozíciót.",Nessuna posizione scelta! Doppio click in mappa per sceglierne una!,¡No has seleccionado una posicion en el mapa! ¡haz doble click para seleccionar una posición!,Aucune position sélectionnée ! Double clique quelquepart sur la carte pour en sélectionner une.,沒有選擇位置！雙擊地圖選擇一個相應的位置。,Posição não escolhida! Clique 2x no mapa para escolher uma.,位置が選択されていません! マップの任意の場所をダブルクリックしてください!,没有选择位置！双击地图选择一个相应的位置。,
STR_EXPANSION_MARKER_SYSTEM_MARKER_NAME_ALREADY_EXIST,There is already a Map Marker named %1. Please use a different one.,There is already a Map Marker named %1. Please use a different one.,Značka s názvem %1 již na mapě existuje. Je třeba vybrat jiný název.,Eine Markierung mit dem Namen %1 existiert bereits. Bitte wähle einen anderen Namen.,Уже имеется метка с названием %1. Используйте другое название.,Znacznik o nazwie %1 już istnieje. Użyj innej nazwy.,Már van egy jelölő %1 néven. Kérlek válassz egy másikat!,"Esiste già un marcatore chiamato %1, prova a cambiare nome!","¡Ya existe un marcador con ese nombre, usa uno diferente!",Il y a déjà un marqueur de carte nommé %1. Utilises-en un autre.,已經有一個標記被命名為%1。請更換一個名稱！,Já existe uma marcação no mapa com nome %1. Por favor escolha outro.,マーカー名 %1 は既に使用されているため他の名前をご使用ください。,已经有一个标记被命名为%1。请更换一个名称！,
STR_EXPANSION_MARKER_EDITED_MARKER,Marker edited!,Marker edited!,Značka změněna.,Markierung bearbeitet!,Метка изменена!,Znacznik został zmodyfikowany.,Jelölő szerkesztése sikeres!,Marcatore modificato!,Marcador editado!,Marqueur édité !,標記已被編輯！,Marcação editada!,マーカーは変更されました!,标记已被编辑！,
STR_EXPANSION_MARKER_SAVED_PLAYER_POSITION_COLOR,Saved player position arrow color!,Saved player position arrow color!,Uložena barva šipky hráče!,Farbe des Spielerpositions-Pfeils gespeichert!,Цвет метки игрока сохранён!,Zapisano kolor znacznika gracza.,Játékos helymeghatározó nyíl szín elmentve.,Il colore della freccia di posizione giocatore è stato salvato!,Color de posicion del jugador guardada!,La couleur de la flêche de positionnement du joueur a été sauvegardée !,保存玩家位置箭頭顏色！,Salva a posição da flecha do jogador.,プレーヤー矢印の色は保存されました!,保存玩家位置箭头颜色！,
STR_EXPANSION_MARKER_ALPHA_SAVED,Current marker transparency saved!,Current marker transparency saved!,Uložena průhlednost značky!,Markierungstransparenz gespeichert!,Прозрачность текущей метки сохранена!,Zapisano przezroczystość znacznika.,Jelenlegi jelölő átlátszósága elmentve.,La trasparenza del marcatore corrente è stata salvata!,Transparencia del marcador actual guardado!,La transparence du marqueur actuel a été sauvegardée !,當前標記透明度已保存！,Transparência da marcação atual foi salva,マーカーの透明度が保存されました!,当前标记透明度已保存！,
STR_EXPANSION_MARKER_SYSTEM_EDITING_MARKER,Marker edit mode active!,Marker edit mode active!,Editační mód značek aktivní!,Markierungs-Bearbeitungsmodus aktiv!,Режим редактирования меток активирован!,Aktywowano tryb edytowania znaczników!,Jelölő szerkesztés mód aktív!,Modalità modifica marcatore attiva!,Modo edición activado!,Mode d'édition de marqueur actif !,標記編輯模式打開！,Modo de Edição de Marcação ligado.,マーカー編集モードがアクティブです!,标记编辑模式打开！,
STR_EXPANSION_MARKER_SYSTEM_EDITING_CANCELLED,Marker edit mode cancelled!,Marker edit mode cancelled!,Editační mód znače zrušen!,Markierungs-Bearbeitungsmodus abgebrochen!,Режим редактирования меток выключен!,Anulowano tryb adytowania znaczników!,Jelölő szerkesztés mód inaktív!,Modalità modifica marcatore disattiva!,Modo edición desactivado!,Mode d'édition de marqueur annulé !,標記編輯模式關閉！,Modo de Edição de Marcação desligado.,マーカー編集モードがキャンセルされました!,标记编辑模式关闭！,
STR_EXPANSION_MARKERLIST_INFO_1,Create Marker - To create a marker just double-click on a position on the map.,Create Marker - To create a marker just double-click on a position on the map.,Create Marker - To create a marker just double-click on a position on the map.,Markierung erstellen (Doppelklick auf die Karte),"Создать метку - чтобы создать метку, просто щелкните место на карте.",Create Marker - To create a marker just double-click on a position on the map.,Create Marker - To create a marker just double-click on a position on the map.,Crea un marcatore - Per creare un marcatore clicca ovunque sulla mappa,"Crear marcador: para crear un marcador, simplemente haga doble clic en una posición en el mapa.","Créer un marqueur - Pour créer un marqueur, double-cliquez simplement sur l'emplacement désiré depuis votre carte.",創建標記-要創建標記，只需雙擊地圖上的某個位置即可。,Create Marker - To create a marker just double-click on a position on the map.,Create Marker - To create a marker just double-click on a position on the map.,创建标记-要创建标记，只需双击地图上的某个位置即可。,
STR_EXPANSION_MARKERLIST_INFO_2,"Delete Marker - Point on a existing marker on the map and press the ""Delete Map Marker"" key (Default: Delete) to remove it, or click on it and delete it from the ""Edit Marker"" window.","Delete Marker - Point on a existing marker on the map and press the ""Delete Map Marker"" key (Default: Delete) to remove it, or click on it and delete it from the ""Edit Marker"" window.","Delete Marker - Point on a existing marker on the map and press the ""Delete Map Marker"" key (Default: Delete) to remove it, or click on it and delete it from the ""Edit Marker"" window.","Markierung entfernen (Standard: ""Entfernen""-Taste)","Удалить метку - наведите указатель на существующий метку на карте или в списке и нажмите клавишу «Удалить метку карты» (по умолчанию: «Удалить»), чтобы удалить его.","Delete Marker - Point on a existing marker on the map and press the ""Delete Map Marker"" key (Default: Delete) to remove it, or click on it and delete it from the ""Edit Marker"" window.","Delete Marker - Point on a existing marker on the map and press the ""Delete Map Marker"" key (Default: Delete) to remove it, or click on it and delete it from the ""Edit Marker"" window.","Cancella marcatore - Per cancellare un marcatore, posizionaci il mouse e premi \""Delete Map Marker\""  (Default: CANC)","Eliminar marcador: apunte a un marcador existente en el mapa y presione la tecla ""Eliminar marcador de mapa"" (tecla predeterminada: borrar) para eliminarlo, o haga clic en él y elimínelo de la ventana ""Editar marcador"".","Supprimer le marqueur - Pointez un marqueur existant sur la carte avec votre curseur et appuyez sur la touche ""Supprimer le marqueur de carte"" (par défaut: Supprimer) pour le supprimer, ou cliquez dessus et supprimez-le de la fenêtre d'édition.",刪除標記-指向地圖上現有的標記，然後按“刪除地圖標記”鍵（默認值：刪除）將其刪除，或者單擊它，然後從“編輯標記”窗口中將其刪除。,"Delete Marker - Point on a existing marker on the map and press the ""Delete Map Marker"" key (Default: Delete) to remove it, or click on it and delete it from the ""Edit Marker"" window.","Delete Marker - Point on a existing marker on the map and press the ""Delete Map Marker"" key (Default: Delete) to remove it, or click on it and delete it from the ""Edit Marker"" window.",删除标记-指向地图上现有的标记，然后按“删除地图标记”键（默认值：删除）将其删除，或者单击它，然后从“编辑标记”窗口中将其删除。,
STR_EXPANSION_MARKERLIST_INFO_3,Edit Marker - Click on a existing marker on the map or in the list to bring up the edit window and to change it to your likings.,Edit Marker - Click on a existing marker on the map or in the list to bring up the edit window and to change it to your likings.,Edit Marker - Click on a existing marker on the map or in the list to bring up the edit window and to change it to your likings.,Markierung bearbeiten (Doppelklick auf die Markierung),"Редактировать метку - щелкните существующую метку на карте или в списке, чтобы открыть окно редактирования и изменить его по своему вкусу.",Edit Marker - Click on a existing marker on the map or in the list to bring up the edit window and to change it to your likings.,Edit Marker - Click on a existing marker on the map or in the list to bring up the edit window and to change it to your likings.,Modifica Marcatore - Clicca su un marcatore esistente per aprire la schermata di modifica,Editar marcador: haga clic en un marcador existente en el mapa o en la lista para abrir la ventana de edición y cambiarla a su gusto.,Modifier le marqueur - Cliquez sur un marqueur existant sur la carte ou dans la liste pour afficher la fenêtre d'édition et pour le modifier à votre guise.,編輯標記-單擊地圖上或列表中的現有標記，以顯示編輯窗口並將其更改為您喜歡的標記。,Edit Marker - Click on a existing marker on the map or in the list to bring up the edit window and to change it to your likings.,Edit Marker - Click on a existing marker on the map or in the list to bring up the edit window and to change it to your likings.,编辑标记-单击地图上或列表中的现有标记，以显示编辑窗口并将其更改为您喜欢的标记。,
STR_EXPANSION_MARKERLIST_INFO_4,Change Marker Position - Drag and drop a existing marker on the map to change its position.,Change Marker Position - Drag and drop a existing marker on the map to change its position.,Change Marker Position - Drag and drop a existing marker on the map to change its position.,Markierungsposition verändern (Drag & Drop),"Изменить положение метки - перетащите существующий метку на карту, чтобы изменить его положение.",Change Marker Position - Drag and drop a existing marker on the map to change its position.,Change Marker Position - Drag and drop a existing marker on the map to change its position.,Sposta marcatore - Clicca e trascina un marcatore per cambiarne la posizione,Cambiar posición de marcador: arrastre y suelte un marcador existente en el mapa para cambiar su posición.,Changer la position du marqueur - Faites glisser et déposez un marqueur existant sur la carte pour changer sa position.,更改標記位置-將現有標記拖放到地圖上以更改其位置。,Change Marker Position - Drag and drop a existing marker on the map to change its position.,Change Marker Position - Drag and drop a existing marker on the map to change its position.,更改标记位置-将现有标记拖放到地图上以更改其位置。,
STR_EXPANSION_MARKERTOGGLE_TITLE,Marker Toggle,Marker Toggle,Marker Toggle,Markierungen umschalten,Переключить метки,Marker Toggle,Marker Toggle,Attiva/Disattiva Marcatori,Activar marcador,Visibilité des marqueurs,標記切換,Marker Toggle,Marker Toggle,标记切换,
STR_EXPANSION_MARKERTOGGLEALL_ON,You have disabled all 3D markers,You have disabled all 3D markers,You have disabled all 3D markers,Du hast alle 3D-Markierungen deaktiviert.,Вы отключили все 3D-метки,You have disabled all 3D markers,You have disabled all 3D markers,Hai disattivato tutti i marcatori 3D,Has desactivado todos los marcadores 3D,Vous avez désactivé tous les marqueurs 3D,您已禁用所有3D標記,You have disabled all 3D markers,You have disabled all 3D markers,您已禁用所有3D标记,
STR_EXPANSION_MARKERTOGGLEALL_OFF,You have enabled all 3D markers,You have enabled all 3D markers,You have enabled all 3D markers,Du hast alle 3D-Markierungen aktiviert.,Вы включили все 3D-метки,You have enabled all 3D markers,You have enabled all 3D markers,Hai attivato tutti i marcatori 3D,Has activado todos los marcadores 3D,Vous avez activé tous les marqueurs 3D,您已啟用所有3D標記,You have enabled all 3D markers,You have enabled all 3D markers,您已启用所有3D标记,
STR_EXPANSION_MARKERTOGGLEPARTY_ON,You have disabled all the Party 3D markers,You have disabled all the Party 3D markers,You have disabled all the Party 3D markers,Du hast alle 3D-Gruppenmarkierungen deaktiviert.,Вы отключили все 3D-метки группы,You have disabled all the Party 3D markers,You have disabled all the Party 3D markers,Hai disattivato tutti i marcatori 3D di gruppo,Has desactivado todos los marcadores 3D del grupo.,Vous avez désactivé tous les marqueurs de groupe 3D,您已禁用所有Party 3D標記,You have disabled all the Party 3D markers,You have disabled all the Party 3D markers,您已禁用所有Party 3D标记,
STR_EXPANSION_MARKERTOGGLEPARTY_OFF,You have enabled all the Party 3D markers,You have enabled all the Party 3D markers,You have enabled all the Party 3D markers,Du hast alle 3D-Gruppenmarkierungen aktiviert.,Вы включили все 3D-метки группы,You have enabled all the Party 3D markers,You have enabled all the Party 3D markers,Hai attivato tutti i marcatori 3D di gruppo,Has activado todos los marcadores 3D del grupo.,Vous avez activé tous les marqueurs de groupe 3D,您已啟用所有Party 3D標記,You have enabled all the Party 3D markers,You have enabled all the Party 3D markers,您已启用所有Party 3D标记,
STR_EXPANSION_MARKERTOGGLESERVER_ON,You have disabled all the Server 3D markers,You have disabled all the Server 3D markers,You have disabled all the Server 3D markers,Du hast alle 3D-Servermarkierungen deaktiviert.,Вы отключили все сервеные 3D метки,You have disabled all the Server 3D markers,You have disabled all the Server 3D markers,Hai Disabilitato tutti i marcatori 3D del Server,Has desactivado todos los marcadores 3D del servidor.,Vous avez désactivé tous les marqueurs de serveur 3D,您已禁用所有服務器3D標記,You have disabled all the Server 3D markers,You have disabled all the Server 3D markers,您已禁用所有服务器3D标记,
STR_EXPANSION_MARKERTOGGLESERVER_OFF,You have enabled all the Server 3D markers,You have enabled all the Server 3D markers,You have enabled all the Server 3D markers,Du hast alle 3D-Servermarkierungen aktiviert.,Вы включили все сервеные 3D метки,You have enabled all the Server 3D markers,You have enabled all the Server 3D markers,Hai Abilitato tutti i marcatori 3D del Server,Has activado todos los marcadores 3D del servidor.,Vous avez activé tous les marqueurs de serveur 3D,您已啟用所有服務器3D標記,You have enabled all the Server 3D markers,You have enabled all the Server 3D markers,您已启用所有服务器3D标记,
STR_EXPANSION_MAP_MARKER_CREATION_TITLE,MARKER CREATION,MARKER CREATION,TVORBA ZNAČEK,MARKERERSTELLUNG,СОЗДАНИЕ МЕТКИ,KREACJA ZNACZNIKA,MARKER KÉSZÍTÉS,CREAZIONE MARCATORE,CREAR MARCADOR,CRÉATION DE MARQUEUR,標記創建,CRIAÇÃO DE MARCAÇÃO,マーカーの作成,标记创建,
STR_EXPANSION_MAP_MARKER_ICON_TITLE,MARKER ICON,MARKER ICON,IKONKA ZNAČKY,MARKERSYMBOL,ИКОНКА МЕТКИ,IKONA ZNACZNIKA,MARKER IKON,ICONA MARCATORE,ICONO DEL MARCADOR,ICONE DU MARQUEUR,標記圖標,ÍCONE DE MARCAÇÃO,マーカーアイコン,标记图标,
STR_EXPANSION_MAP_MARKER_COLOR_TITLE,MARKER COLOR,MARKER COLOR,BARVA ZNAČKY,MARKERFARBE,ЦВЕТ МЕТКИ,KOLOR ZNACZNIKA,MARKER SZÍN,COLORE MARCATORE,COLOR DEL MARCADOR,COULEUR DU MARQUEUR,標記顏色,COR DA MARCAÇÃO,マーカー色,标记颜色,
STR_EXPANSION_MAP_MARKER_OPTIONS_TITLE,MARKER OPTIONS,MARKER OPTIONS,NASTAVENÍ ZNAČKY,MARKEROPTIONEN,НАСТРОЙКИ МЕТКИ,OPCJE ZNACZNIKA,MARKER OPCIÓK,OPZIONI MARCATORE,OPCIONES DEL MARCADOR,OPTIONS DU MARQUEUR,標記設置,OPÇÕES DE MARCAÇÃO,マーカーオプション,标记设置,
STR_EXPANSION_MAP_MARKER_OPTION_PARTY_LABLE,PARTY MARKER,PARTY MARKER,SKUPINOVÁ ZNAČKA,GRUPPENMARKER,МЕТКА ГРУППЫ,ZNACZNIKA GRUPY,CSAPAT MARKER,MARCATORE DI GRUPPO,MARCADOR DEL GRUPO,MARQUEUR DE GROUPE,團隊標記,MARCAÇÃO DO GRUPO,パーティーマーカー,团队标记,
STR_EXPANSION_MAP_MARKER_OPTION_LOCK_LABLE,LOCK (HOLD SHIFT TO DRAG),LOCK (HOLD SHIFT TO DRAG),LOCK (HOLD SHIFT TO DRAG),FIXIERT (SHIFT HALTEN ZUM BEWEGEN),БЛОКИРОВКА (УДЕРЖИВАЙТЕ SHIFT ДЛЯ ПЕРЕТАСКИВАНИЯ),LOCK (HOLD SHIFT TO DRAG),LOCK (HOLD SHIFT TO DRAG),LOCK (HOLD SHIFT TO DRAG),LOCK (HOLD SHIFT TO DRAG),VERROUILLER (MAINTENIR MAJ POUR GLISSER),鎖定（按住 Shift 鍵拖動）,LOCK (HOLD SHIFT TO DRAG),LOCK (HOLD SHIFT TO DRAG),锁定（按住 Shift 键拖动）,
STR_EXPANSION_MAP_MARKER_OPTION_3D_LABLE,3D MARKER,3D MARKER,3D ZNAČKA,3D MARKER,3D МЕТКА,ZNACZNIK 3D,3D MARKER,MARCATORE 3D,MARCADOR 3D,MARQUEUR 3D,3D標記,MARCAÇÃO 3D,3D マーカー,3D标记,
STR_EXPANSION_MAP_MARKER_OPTION_3D_LABEL_DESC,Show this marker on your HUD,Show this marker on your HUD,Show this marker on your HUD,Zeige diese Markierung im HUD,Показать эту метку на вашем HUD,Show this marker on your HUD,Show this marker on your HUD,Mostra questo marcatore sul tuo HUD,Mostrar este marcador en tu HUD,Montrez ce marqueur sur votre HUD,在HUD界面上顯示此標記,Show this marker on your HUD,Show this marker on your HUD,在HUD界面上显示此标记,
STR_EXPANSION_MAP_MARKER_NAME_LABLE,MARKER NAME,MARKER NAME,NÁZEV ZNAČKY,MARKERNAME,НАЗВАНИЕ МЕТКИ,NAZWA ZNACZNIKA,MARKER NEVE,NOME MARCATORE,NOMBRE DEL MARCADOR,NOM DU MARQUEUR,標記名稱,NOME DA MARCAÇÃO,マーカー名,标记名称,
STR_EXPANSION_MAP_MARKER_PREVIEW_TITLE,MARKER PREVIEW,MARKER PREVIEW,NÁHLED ZNAČKY,MARKERPREVIEW,ПРЕДПРОСМОТР МЕТКИ,PODGLĄD ZNACZNIKA,MARKER ELŐNÉZET,ANTEPRIMA MARCATORE,PREVISUALIZACIÓN DEL MARCADOR,PRÉVISUALISATION DU MARQUEUR,標記預覽,PREVISÃO DA MARCAÇÃO,マーカープレビュー,标记预览,
STR_EXPANSION_MAP_MARKER_CREATE_BUTTON_LABLE,CREATE,CREATE,VYTVOŘIT,ERSTELLEN,СОЗДАТЬ,STWÓRZ,KÉSZÍTÉS,CREA,CREAR,CRÉER,創建,CRIAÇÃO DE MARCAÇÃO,マーカーを作成,创建,
STR_EXPANSION_MAP_MARKER_CANCEL_BUTTON_LABLE,CANCEL,CANCEL,ZRUŠIT,ABBRECHEN,ОТМЕНИТЬ,ANULUJ,VISSZAVONÁS,ANNULLA,CANCELAR,ANNULER,取消,CANCELAR,キャンセル,取消,
STR_EXPANSION_MAP_MARKER_DELETE_BUTTON_LABLE,DELETE MARKER,DELETE MARKER,DELETE MARKER,MARKER LÖSCHEN,УДАЛИТЬ МЕТКУ,DELETE MARKER,DELETE MARKER,CANCELLA MARCATORE,ELIMINAR MARCADOR,SUPPRIMER LE MARQUEUR,刪除標記,DELETE MARKER,DELETE MARKER,删除标记,
STR_EXPANSION_MAP_MARKER_DELETE_SHORT_BUTTON_LABLE,DELETE,DELETE,DELETE,LÖSCHEN,УДАЛИТЬ,DELETE,DELETE,CANCELLA,ELIMINAR,SUPPRIMER,刪除,DELETE,DELETE,删除,
STR_EXPANSION_MAP_MARKER_UPDATE_TITLE,UPDATE,UPDATE,UPDATE,UPDATEN,ОБНОВИТЬ,UPDATE,UPDATE,AGGIORNA,ACTUALIZAR,METTRE À JOUR,更新,UPDATE,UPDATE,更新,
STR_EXPANSION_MAP_MARKER_EDIT_TITLE,EDIT MARKER,EDIT MARKER,UPRAVIT ZNAČKU,MARKER EDITIEREN,ИЗМЕНИТЬ МЕТКУ,EDYTUJ ZNACZNIK,MARKER SZERKESZTÉSE,MODIFICA MARCATORE,EDITAR MARCADOR,ÉDITER LE MARQUEUR,編輯標記,EDITAR MARCAÇÃO,マーカー編集,编辑标记,
STR_EXPANSION_MAP_MARKER_EDIT_BUTTON_LABLE,EDIT,EDIT,UPRAVIT ZNAČKU,EDITIEREN,ИЗМЕНИТЬ,EDYTUJ,SZERKESZTÉS,MODIFICA,EDITAR,ÉDITER,編輯,EDITAR MARCAÇÃO,編集,编辑,
STR_EXPANSION_MAP_MARKER_CANCEL_EDIT_BUTTON_LABLE,CANCEL EDIT,CANCEL EDIT,ZRUŠIT ÚPRAVY,EDITIERUNG ABBRECHEN,ОТМЕНИТЬ ИЗМЕНЕНИЕ,ANULUJ EDYTOWANIE,SZERKESZTÉS VISSZAVONÁSA,ANNULLA MODIFICA,CANCELAR EDICIÓN,ANNULER L'ÉDITION,取消編輯,CANCELAR EDIÇÃO,編集をキャンセル,取消编辑,
STR_EXPANSION_MAP_MARKER_LIST_TITLE,MARKER LIST,MARKER LIST,SEZNAM ZNAČEK,MARKERLISTE,СПИСОК МЕТОК,LISTA ZNACZNIKÓW,MARKER LISTA,ELENCO MARCATORI,LISTA DE MARCADORES,LISTE DES MARQUEURS,標記表,LISTA DE MARCAÇÕES,マーカー一覧,标记表,
STR_EXPANSION_MAP_MARKER_APLHA_OPTION_TITLE,MARKER TRANSPARENCY,MARKER TRANSPARENCY,PRŮHLEDNOST ZNAČEK,MARKERTRANSPARENZ,ПРОЗРАЧНОСТЬ МЕТКИ,PRZEZROCZYSTOŚĆ ZNACZNIKÓW,MARKER ÁTLÁTSZÓSÁG,TRASPARENZA MARCATORI,TRANSPARENCIA,TRANSPARENCE DU MARQUEUR,標記透明化,TRANSPARÊNCIA DE MARCAÇÃO,マーカー透明度,标记透明化,
STR_EXPANSION_MAP_MARKER_ARROW_COLOR_TITLE,POSITION ARROW COLOR,POSITION ARROW COLOR,BARVA POZIČNÍ ZNAČKY,POSITIONSPFEILFARBE,ЦВЕТ МЕТКИ ПОЗИЦИИ,KOLOR STRZAŁKI POZYCYJNEJ,HELYMEGHATÁRÓZÓ NYÍL SZÍNE,COLORE FRECCIA DI POSIZIONE,COLOR DE LA FLECHA DE POSICIÓN,COULEUR DE LA FLÊCHE DE POSITION,位置箭頭顏色,COR DA FLECHA DE POSIÇÃO,位置矢印色,位置箭头颜色,
