LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESESIMP,
STR_EXPANSION_CREDITS_MOVIES,Film & Trailer Producer,Film & Trailer Producer,Video produkce,Film- & Trailer-Produzent,Режиссёр видео,Producent Filmików Oraz Zwiastunów,Film & Trailer Producer,Produttore Film e Trailer,Productor de pelicula y trailer,Producteur du Film & du Trailer,電影/預告生產,Produção de Filme & Trailer,動画関連・プロデューサー,电影/预告生产,
STR_EXPANSION_CREDITS_SPECIAL_THANKS,Special Thanks,Special Thanks,Speciální poděkování,Vielen Dank,Отдельная благодарность,Specjalne Podziękowania,Köszönetnyilvánítás,Ringraziamenti Speciali,Agradecimientos Especiales,Remerciements,特別感謝,Agradecimento Especial,特別感謝,特别感谢,
STR_EXPANSION_CREDITS_SUPPORTERS,Project Supporters,Project Supporters,Podporovatelé projektu,Projektunterstützer,Поддержали проект,Wspomagacze Projektu,Projekt Támogatók,Supportatori,Donantes,Supporteurs,項目支持者,Apoiadores do Projeto,プロジェクト・サポーター,项目支持者,
STR_SERVERBROWSER_BUTTON_DIRECT_LABEL,DIRECT,DIRECT,DIRECT,DIREKT,ПРЯМОЕ ПОДКЛЮЧЕНИЕ,BEZPOŚREDNIE,Közvetlen,DIRETTO,CONEXIÓN DIRECTA,CONNEXION DIRECTE,直接連接,DIRETO,直接接続,直接连接,
STR_EXPANSION_TOGGLE_AUTORUN,Toggle Autorun,Toggle Autorun,Přepnout autorun,Autorun umschalten,Автобег,Włącz/Wyłącz Auto-Bieganie,Automata futás,Corsa Automatica On / Off,Activar correr automatico,Activer la course automatique,切換自動奔跑,Correr Automático,オートランのトグル,切换自动奔跑,
STR_EXPANSION_TOGGLE_EARPLUGS,Toggle Earplugs,Toggle Earplugs,Přepnout špunty do uší,Ohrstöpsel umschalten,Беруши,Zatyczki Do Uszu,Füldugó,Tappi Auricolari On / Off,Activar tapones de oidos,Basculer les boules quies,切換耳塞降噪,Ligar Fones de Ouvido,耳栓のトグル,切换耳塞降噪,
STR_EXPANSION_PERSONALNOTES_NOTIF_TITLE,Personal Notes,Personal Notes,Osobní poznámky,Persönliche Notizen,Личные заметки,Prywatne notatki,Személyes feljegyzések,Note Personali,Notas personales,Notes Personnelles,個人記錄,Bloco de Notas,個人的なメモ,个人记录,
STR_EXPANSION_PERSONALNOTES_SYSTEM_NAME,You need to give this note a name first!,You need to give this note a name first!,Je třeba nejdříve pojmenovat poznámku!,Du musst dieser Notiz erst einen Namen geben!,Заметке сначала необходимо задать название!,Musisz nazwać tę notatkę!,Előbb adj nevet a fejlegyzésnek!,Devi prima dare un nome a questa nota!,¡Tienes que ponerle nombre a la nota!,Tu dois donner un nom à cette note d'abord !,你需要首先給便簽命名！,Você precisa criar uma nome primeiro.,先ずはメモに題名をつけてください,你需要首先给便签命名！,
STR_EXPANSION_KILLFEED_TITLE,Killfeed,Killfeed,Záznam smrtí,Killfeed,Список убийств,Lista zabójstw,Gyilkosságok listája,Feed Uccisioni,Listado de muertes,Killfeed,擊殺記錄,Placar de Mortes,キルログ,击杀记录,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_ZOMBIE,%1 got killed by an Infected.,%1 got killed by an Infected.,%1 byl zabit/a infikovaným.,%1 wurde von einem Infizierten getötet.,%1 был убит зараженным.,%1 został zabity przez zarażonego.,%1 has been killed by a Infected.,%1 è stato ucciso da un infetto!,Un infectado a matado a %1.,%1 a été tué par un Infecté.,%1 被凶狠無比的喪屍啃咬至死，RIP。,%1 foi morto por um infectado.,%1 has been killed by a Infected.,%1 被凶狠无比的丧尸啃咬至死，RIP。,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_PLAYER_MELEE,%1 got killed by %2 with %3.,%1 got killed by %2 with %3.,%1 byl zabit/a %2 s %3.,%1 wurde von %2 mit %3 getötet.,%1 был убит %2 при помощи.,%1 został zabity przez %2 używając %3.,%1 -t megölte %2 %3 fegyverrel,%1 got killed by %2 with %3.,%2 a matado a %1 con %3. ,%1 a été tué par %2 avec un(e) %3.,%1 被 %2 使用 %3 擊斃。,%1 foi morto por %2 com  %3.,%1 has been killed by %2 with a %3.,%1 被 %2 使用 %3 击毙。,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_PLAYER_WEAPON,%1 got killed by %2 with %3 from a distance of %4 m.,%1 got killed by %2 with %3 from a distance of %4 m.,%1 byl zabit/a %2 s %3 z %4 metrů.,%1 wurde von %2 mit %3 aus einer Distanz von %4 m erschossen.,%1 был убит %2 с %3 из %4 м расстояние.,%1 został zabity przez %2 używając %3 od %4 m odległości.,%1 has been killed by %2 with a %3 from a distance of %4m.,%1 è stato ucciso da %2 con un %3 da %4 m di distanza,%2 a matado a %1  con %3 desde %4m de distancia.,%1 a été tué par %2 avec un(e) %3 à une distance de %4m.,%1 被 %2 使用 %3 從 %4 的距離擊斃。,%1 foi morto po %2 com %3 de %4 m distância.,%1 has been killed by %2 with a %3 from a distance of %4m.,%1 被 %2 使用 %3 从 %4 的距离击毙。,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_PLAYER_WEAPON_NODISTANCE,%1 got killed by %2 with %3.,%1 got killed by %2 with %3.,%1 byl zabit/a %2 s %3.,%1 wurde von %2 mit %3 erschossen.,%1 был убит %2 с %3.,%1 został zabity przez %2 używając %3.,%1 has been killed by %2 with a %3.,%1 è stato ucciso da %2 con un %3,%2 a matado a %1 con %3.,%1 a été tué par %2 avec un(e) %3.,%1 被 %2 使用 %3,%1 foi morto po %2 com %3.,%1 has been killed by %2 with a %3.,%1 被 %2 使用 %3,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_PLAYE_BAREHANDS,%1 got beaten to a pulp by %2 with bare hands.,%1 got beaten to a pulp by %2 with bare hands.,%1 byl zabit/a %2 v pěstním souboji.,%1 wurde von %2 mit bloßen Fäusten zu Brei geprügelt.,%1 был убит %2 голыми руками.,%1 został zabity przez %2 używając gołych pięści.,%1-t  megölte %2 puszta kézzel,%1 è stato ucciso da %2 a mani nude! ,%2 a matado a %1 con sus manos.,%1 a été tué par %2 à mains nues.,%1 被 %2 用他那碩大無比的拳頭鎚死了，死了，了。,%1 foi morto por %2 com socos.,%1 was killed by %2 with his/her bare hands.,%1 被 %2 用他那硕大无比的拳头鎚死了，死了，了。,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_ANIMAL,%1 got mauled to death by a %2.,%1 got mauled to death by a %2.,%1 byl zabit/a %2 zvířetem.,%1 wurde von %2 zerfleischt.,%1 был убит животным %2.,%1 został zabity przez %2.,%1-t megölte egy állat,%1 è stato ucciso da un %2 animale.,El %2 animal a matado a %1.,%1a été tué par l'animal %2.,太菜了 %1 居然被 %2 這種人見人愛的動物殺死了。,%1 foi morto por um %2 animal,%1 has been killed by a %2 animal.,太菜了 %1 居然被 %2 这种人见人爱的动物杀死了。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_BLEEDING,%1 bled out.,%1 bled out.,%1 zemřel/a na ztrátu krve.,%1 ist verblutet.,%1 умер от потери крови.,%1 zginął przez utrate krwi.,%1 meghalt vérveszteség által,%1 è morto dissanguato,%1 a muerto desangrado.,%1 est mort en se vidant de son sang.,%1 失血過多，最終死亡，他的遺言是，希望來世是O型血。,%1 sangrou até morrer,%1 died because of bloodloss.,%1 失血过多，最终死亡，他的遗言是，希望来世是O型血。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_STARVATION,%1 starved to death.,%1 starved to death.,%1 zemřel/a hladem.,%1 ist verhungert.,%1 умер от голода.,%1 zginął przez głód.,%1 éhen halt,%1 è morto di fame,%1 a muerto de hambre,%1 est mort de faim.,%1 是個漢子，寧可餓死也不吃屎。,%1 morreu de fome,%1 died because of starvation.,%1 是个汉子，宁可饿死也不吃屎。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_DEHYDRATION,%1 died because of dehydration.,%1 died because of dehydration.,%1 zemřel/a dehydratací.,%1 ist verdurstet.,%1 умер от жажды.,%1 zginął przez odwodnienie.,%1 szomjan halt,%1 è morto disidratato,%1 a muesto deshidratado.,%1 est mort de soif.,%1 是個漢子，寧可渴死也不喝尿。,%1 morreu por desidratação,%1 died because of dehydration.,%1 是个汉子，宁可渴死也不喝尿。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_STATUSEFFECT,%1 died from %2.,%1 died from %2.,%1 died from %2.,%1 starb durch %2.,%1 умер от %2.,%1 died from %2.,%1 died from %2.,%1 died from %2.,%1 died from %2.,%1 est mort de %2.,%1 死於 %2。,%1 died from %2.,%1 died from %2.,%1 死于 %2。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_EXPLOSION,%1 was killed by an explosion caused by %2.,%1 was killed by an explosion caused by %2.,%1 zabit/a v explozi od %2.,%1 starb in einer durch %2 ausgelösten Explosion.,%1 был убит взрывом %2.,%1 został wysadzony przez %2.,%1 was killed by an explosion by a %2.,%1 è stato ucciso dall'esplosione di un %2.,%2 a matado a %1 con una explosión,%1 a été tué par une explosion provenant d'un(e) %2.,%1 被 %2 的爆炸物所殺。,%1 foi morto por explosão causada por %2.,%1 was killed by an explosion by a %2.,%1 被 %2 的爆炸物所杀。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_EXPLOSION_WEAPON,"%1 was killed by an explosion caused by %2. Well done, %3.","%1 was killed by an explosion caused by %2. Well done, %3.",%1 zabit/a v explozi od %2. Dobrá práce %3.,"%1 starb in einer durch %2 ausgelösten Explosion. Gut gemacht, %3.",%1 был убит взрывом %2. Отлично сработано %3.,%1 został wysadzony przez %2. Dobra robota %3.,%1 was killed by an explosion by a %2. Well done %3.,%1 è stato ucciso dall'esplosione di un %2. Ben Fatto %3!,Bien hecho %3 has matado %1 con una explosión por %2. ,%1 a été tué par une explosion provenant d'un(e) %2. Bien joué %3.,%1 被 %2 的爆炸物所殺，幹的漂亮 %3。,%1 foi morto por explosão causada por %2. Bom trabalho %3.,%1 was killed by an explosion by a %2. Well done %3.,%1 被 %2 的爆炸物所杀，干的漂亮 %3。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_EXPLOSION_WEAPON_SUICIDE,%1 blew themself up with %2.,%1 blew themself up with %2.,%1 se sám odpálil/a %2.,%1 hat sich selbst mit %2 in die Luft gejagt.,%1 взорвал себя %2.,%1 wysadził się używając %2.,%1 blew himself up with a %2.,%1 si è annientato con un %2.,%1 se ha volado a si mismo con %2,%1 s'est fait explosé avec un(e) %2.,%1 使用 %2 進行了自殺式爆炸襲擊。,%1 se explodiu com %2.,%1 blew himself up with a %2.,%1 使用 %2 进行了自杀式爆炸袭击。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_EXPLOSION_VEHICLE,%1 blew up in their %2.,%1 blew up in their %2.,%1 odpálil/a %2.,%1 ist in %2 explodiert.,%1 взорвал его %2.,%1 wysadził się z jego %2.,%1 blew up with his %2.,%1 è esploso con il suo %2.,%1 ha estallado con %2,%1 a explosé dans son/sa %2.,%1 引爆了 %2。,%1 explodiu com seu %2.,%1 blew up with his %2.,%1 引爆了 %2。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_FALLING,%1 fell to their death.,%1 fell to their death.,%1 zemřel/a pádem z výšky.,%1 ist in den Tod gestürzt.,%1 умер от падения с высоты.,%1 zginął przez upadek z wysokiego miejsca.,%1 magasról lezuhant és meghalt,%1 è morto per caduta da mooooolto in alto,%1 ha muerto debido a una caida desde gran altura.,%1 est mort d'une chute trop importante.,%1 從高空墜落而死，在那短暫的幾秒內，他回憶了他悲慘又不值一提的一生，儘管中途他害怕了，後悔了，但重力加速度從未饒過誰，喔，我的上帝，那是他的大腿和腸子嗎，馬路對面那塊黑烏麻漆的東西是他剩下一半的腦袋嗎？,%1 morreu por cair de local alto,%1 died because of falling from a high distance.,%1 从高空坠落而死，在那短暂的几秒内，他回忆了他悲惨又不值一提的一生，尽管中途他害怕了，后悔了，但重力加速度从未饶过谁，喔，我的上帝，那是他的大腿和肠子吗，马路对面那块黑乌麻漆的东西是他剩下一半的脑袋吗？,
STR_EXPANSION_KILLFEED_PLAYER_DIED_SUICIDE,%1 commited suicide with %2.,%1 commited suicide with %2.,%1 zabil/a se s %2.,%1 hat sich selbst mit %2 getötet.,%1 самоубился при помощи %2.,%1 zabił się używając %2.,%1 megölte magát %2 fegyverrel,%1 si è ucciso da solo con un %2,%1 se ha suicidado usando %2.,%1 s'est suicidé avec un(e) %2.,%1 使用 %2 自殺了.,%1 se matou com %2.,%1 killed himself with a %2.,%1 使用 %2 自杀了.,
STR_EXPANSION_KILLFEED_PLAYER_DIED_SUICIDE_NOITEM,%1 commited suicide.,%1 commited suicide.,%1 commited suicide.,%1 hat sich selbst getötet.,%1 покончил жизнь самоубийством.,%1 commited suicide.,%1 commited suicide.,%1 commited suicide.,%1 commited suicide.,%1 s'est suicidé.,%1 自殺了。,%1 commited suicide.,%1 commited suicide.,%1 自杀了。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_FIRE,%1 burned to death.,%1 burned to death.,%1 upálen/a k smrti.,%1 ist verbrannt.,%1 сгорел до смерти.,%1 został spalony żywcem.,%1 got burned to death.,%1 è stato arso vivo,%1 se ha quemado vivo.,%1 a été brulé à mort.,%1 被灼燒至死。,%1 queimou até morrer,%1 got burned to death.,%1 被灼烧至死。,
STR_EXPANSION_KILLFEED_PLAYER_AI_WEAPON,%1 got killed by %2 NPC with %3.,%1 got killed by %2 NPC with %3.,%1 zabit/a npc %2 s %3.,%1 wurde von %2 NPC mit %3 getötet.,%1 был убит ботом %2 при помощи %3.,%1 został zabity przez NPC %2 używając %3.,%1 megölte egy %2 npc egy %3 fegyverrel,%1 è stato ucciso da un NPC %2 con un %3.,%1 ha sido asesinado por el npc %2 con un %3,%1 a été tué par un bot %2 avec un(e) %3.,%1 被NPC %2 用 %3 殺死。,%1 foi morto por %2 NPC com %3.,%1 has been killed by a %2 npc with a %3.,%1 被NPC %2 用 %3 杀死。,
STR_EXPANSION_KILLFEED_PLAYER_AI_NOWEAPON,%1 got beaten to a pulp by %2 NPC with bare hands.,%1 got beaten to a pulp by %2 NPC with bare hands.,%1 byl zabit/a npc %2 v pěstním souboji.,%1 wurde von %2 NPC zu Brei geprügelt.,%1 был убит ботом %2 голыми руками.,%1 został zabity przez NPC %2 gołymi pięściami.,%1 meghalt egy %2 npc által aki puszta kezét használta,%1 è stato ucciso da un NPC %2 a mani nude,El npc %2 ha matado a %1 con sus puños,%1 a été tué par un bot %2 de ses propres mains.,%1 被NPC %2 用拳頭殺死。,%1 foi morto por %2 NPC com suas próprias mãos,%1 has been killed by a %2 npc with his bare hands.,%1 被NPC %2 用拳头杀死。,
STR_EXPANSION_KILLFEED_PLAYER_CRASHED_CAR,%1 didn't survive driving their %2.,%1 didn't survive driving their %2.,%1 havaroval/a s %2.,%1 überlebte die Fahrt in %2 nicht.,%1 разбился на %2.,%1 rozbił jego samochód %2.,%1 crashed with his %2 car.,%1 si è schiantato con la sua auto %2,%1 se ha estrellado con su %2,%1 a eu un accident avec son/sa %2.,%2 導致了 %1 車輛損毀了。,%1 bateu com seu %2 carro,%1 crashed with his %2 car.,%2 导致了 %1 车辆损毁了。,
STR_EXPANSION_KILLFEED_PLAYER_CRASHED_CAR_CREW,%1 and passengers %3 didn't survive driving in their %2.,%1 and passengers %3 didn't survive driving in their %2.,"%1 zabit/a ve vozidle %2 car, protože řidičské schopnosti %3 byly nedostatečné.",%1 und Passagiere %3 haben die Fahrt in %2 nicht überlebt.,"%1 был взорван в машине %2, потому что %3 навыки вождения были недостаточны.",%1 został wysadzony w aucie %2 bo %3 nie umiał prowadzić.,%1 was blown up in a %2 car because %3 driving skills were insufficient.,%1 è esploso nella sua auto %2 perchè le abilità di guida di %3 erano scarse,gracias a la insuficiente habilidad de %3  para conducir %1 ha muerto estrellado en un coche %2,%1 a explosé dans un(e) %2 car les compétences de conduite de %3 ont été insuffisantes.,%1 因 %2 的車爆炸而死 ， %3 的駕駛技術真的不過關，回爐重造吧 。,%1 explodiu no %2 carro porque %3 habilidades de direção insuficientes,%1 was blown up in a %2 car because %3 driving skills were insufficient.,%1 因 %2 的车爆炸而死 ， %3 的驾驶技术真的不过关，回炉重造吧 。,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_CRASH_CAR,%1 got run over by %3 with a %2.,%1 got run over by %3 with a %2.,"%1 zabit/a ve vozidle %2 car, protože řidičské schopnosti %3 byly nedostatečné.",%1 wurde von %3 mit %2 überfahren.,"%1 был взорван в машине %2, потому что %3 навыки вождения были недостаточны.",%1 został wysadzony w aucie %2 bo %3 nie umiał prowadzić.,%1 was blown up in a %2 car because %3 driving skills were insufficient.,%1 è esploso nella sua auto %2 perchè le abilità di guida di %3 erano scarse,gracias a la insuficiente habilidad de %3  para conducir %1 ha muerto estrellado en un coche %2,%1 a explosé dans un(e) %2 car les compétences de conduite de %3 ont été insuffisantes.,%1 因 %2 的車爆炸而死 ， %3 的駕駛技術真的不過關，回爐重造吧 。,%1 explodiu no %2 carro porque %3 habilidades de direção insuficientes,%1 was blown up in a %2 car because %3 driving skills were insufficient.,%1 因 %2 的车爆炸而死 ， %3 的驾驶技术真的不过关，回炉重造吧 。,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_CRASH_CAR_NODRIVER,%1 got run over with a %2.,%1 got run over with a %2.,%1 zabit/a v %2 .,%1 wurde mit %2 überfahren.,%1 был взорван в %2.,%1 został wysadzony w aucie %2.,%1 was blown up in a %2 car.,%1 è esploso nella sua auto %2 perchè le abilità di guida di %3 erano scarse,%1 ha muerto en una explosion en un %2,%1 a explosé dans un(e) %2.,%1 已經被 %2 車所炸毀。,%1 explodiu com %2 carro,%1 was blown up in a %2 car.,%1 已经被 %2 车所炸毁。,
STR_EXPANSION_KILLFEED_PLAYER_CRASHED_HELI,%1 didn't survive flying their %2.,%1 didn't survive flying their %2.,%1 spadl/a s %2 helikoptérou.,%1 ist in %2 abgestürzt.,%1 разбился со своим вертолетом %2.,%1 rozbił jego helikopter %2.,%1 crashed with his %2 helicopter.,%1 si è schiantato con il suo elicottero %2,%1 se ha estrellado con su helicoptero %2,%1 s'est crashé avec son hélicoptère %2.,%1 墜毀在 %2的直升機裡 。,%1 caiu com %2 helicóptero,%1 crashed with his %2 helicopter.,%1 坠毁在 %2的直升机里 。,
STR_EXPANSION_KILLFEED_PLAYER_CRASHED_HELI_CREW,%1 and passengers %3 didn't survive flying in their %2.,%1 and passengers %3 didn't survive flying in their %2.,"%1 byl zabit/a v %2 helikoptéře, protože pilotní schopnosti %3 jsou nedostatečné.",%1 und Passagiere %3 haben den Flug in %2 nicht überlebt.,"%1 был взорван в вертолете %2, потому что %3 летных навыков было недостаточно.",%1 został wysadzony w helikopterze %2 bo %3 nie umiał latać.,%1 was blown up in a %2 helicopter because %3 flying skills were insufficient.,%1 è esploso in un elicottero %2 perchè le abilità di volo di %3 erano scarse,gracias a la insuficiente habilidad de %3  pilotar %1 ha muerto estrellado en un helicoptero %2,%1 a explosé dans un hélicoptère %2 parceque les compétences de pilotage de %3 ont été insuffisantes.,"%1 因 %2 的直升機爆炸而死 , %3 的飛行技術真的不過關，回爐重造吧 。",%1 explodiu %2 helicóptero porque %3 habilidades de voo insuficientes,%1 was blown up in a %2 helicopter because %3 flying skills were insufficient.,"%1 因 %2 的直升机爆炸而死 , %3 的飞行技术真的不过关，回炉重造吧 。",
STR_EXPANSION_KILLFEED_PLAYER_KILLED_CRASH_HELI,%1 was flattened by %3 with a %2.,%1 was flattened by %3 with a %2.,"%1 byl zabit/a v %2 helikoptéře, protože pilotní schopnosti %3 jsou nedostatečné.",%1 wurde von %3 mit %2 geplättet.,"%1 был взорван в вертолете %2, потому что %3 летных навыков было недостаточно.",%1 został wysadzony w helikopterze %2 bo %3 nie umiał latać.,%1 was blown up in a %2 helicopter because %3 flying skills were insufficient.,%1 è esploso in un elicottero %2 perchè le abilità di volo di %3 erano scarse,gracias a la insuficiente habilidad de %3  pilotar %1 ha muerto estrellado en un helicoptero %2,%1 a explosé dans un hélicoptère %2 parceque les compétences de pilotage de %3 ont été insuffisantes.,"%1 因 %2 的直升機爆炸而死 , %3 的飛行技術真的不過關，回爐重造吧 。",%1 explodiu %2 helicóptero porque %3 habilidades de voo insuficientes,%1 was blown up in a %2 helicopter because %3 flying skills were insufficient.,"%1 因 %2 的直升机爆炸而死 , %3 的飞行技术真的不过关，回炉重造吧 。",
STR_EXPANSION_KILLFEED_PLAYER_KILLED_CRASH_HELI_NODRIVER,%1 was flattened with a %2.,%1 was flattened with a %2.,%1 zabit/a v %2 helikoptéře.,%1 wurde mit %2 geplättet.,%1 был взорван в вертолете % 2.,%1 został wysadzony w helikopterze %2.,%1 was blown up in a %2 helicopter.,%1 è stato distrutto nel suo elicottero %2,%1 ha estallado en un helicoptero %2,%1 a explosé dans un hélicoptère %2.,%1 因為 %2 直升機爆炸而死。,%1 explodiu %2 helicóptero porque %3 habilidades de voo insuficientes,%1 was blown up in a %2 helicopter.,%1 因为 %2 直升机爆炸而死。,
STR_EXPANSION_KILLFEED_PLAYER_BARBED_WIRE,%1 got caught in barbed wire and died.,%1 got caught in barbed wire and died.,%1 got caught in barbed wire and died.,%1 verfing sich in Stacheldraht und starb.,%1 попал в колючую проволоку и умер.,%1 got caught in barbed wire and died.,%1 got caught in barbed wire and died.,%1 si è impigliato nel filo spinato ed è morto,%1 ha muerto al quedar atrpado en alambre de espino,%1 a été pris dans des barbelés et est décédé.,%1 孤獨絕望無助的被鐵絲網困住並因痔瘡大量出血而死亡。,%1 got caught in barbed wire and died.,%1 got caught in barbed wire and died.,%1 孤独绝望无助的被铁丝网困住并因痔疮大量出血而死亡。,
STR_EXPANSION_KILLFEED_PLAYER_TRIPWIRE,%1 tripped over a tripwire.,%1 tripped over a tripwire.,%1 tripped over a tripwire.,%1 wurde ein Stolperdraht zum Verhängnis.,%1 был убит растяжкой.,%1 tripped over a tripwire.,%1 tripped over a tripwire.,%1 ha calpestato una mina artigianale!,%1 tropezó con una trampa de alambre.,%1 a trébuché sur un fil-piège.,%1 被絆線絆倒。,%1 tripped over a tripwire.,%1 tripped over a tripwire.,%1 被绊线绊倒。,
STR_EXPANSION_KILLFEED_PLAYER_KILLED_UNKNOWN,%1 got killed by %2.,%1 got killed by %2.,%1 got killed by %2.,%1 wurde von %2 getötet.,%1 был убит %2.,%1 got killed by %2.,%1 got killed by %2.,%1 è stato ucciso da %2.,%1 a muerto a manos de %2.,%1 a été tué par %2.,%2 擊殺了 %1 。,%1 got killed by %2.,%1 got killed by %2.,%2 击杀了 %1 。,
STR_EXPANSION_KILLFEED_PLAYER_DIED_UNKNOWN,%1 got killed.,%1 got killed.,%1 got killed.,%1 wurde getötet.,%1 был убит.,%1 got killed.,%1 got killed.,%1 è stato ucciso,%1 ha muerto.,%1 a été tué.,%1 被殺死。,%1 got killed.,%1 got killed.,%1 被杀死。,
STR_EXPANSION_KILLFEED_UNKNOWN_KILLED_PLAYER,%1 got killed with a %2.,%1 got killed with a %2.,%1 has been killed with a %2.,%1 wurde mit %2 getötet.,%1 был убит с помощью %2.,%1 has been killed with a %2.,%1 has been killed with a %2.,%1 è stato ucciso con %2.,%1 ha muerto debido a %2,%1 a été tué avec un %2.,%1 已被 %2 殺死。,%1 has been killed with a %2.,%1 has been killed with a %2.,%1 已被 %2 杀死。,
STR_EXPANSION_KILLFEED_UNKNOWN_KILLED_PLAYER_DISTANCE,%1 got killed with a %2 from a distance of  %3 m.,%1 got killed with a %2 from a distance of  %3 m.,%1 has been killed with a %3 from a %4 m distance.,%1 wurde mit %2 aus einer Distanz von %3 m getötet.,%1 был убит %2 с расстояния %3 м.,%1 has been killed with a %3 from a %4 m distance.,%1 has been killed with a %3 from a %4 m distance.,%1 è stato ucciso con un %3 da %4 m di distanza,%1 ha muerto por %2 desde una distancia de %3 m.,%1 a été tué avec un %2 à une distance de %3 m.,%1 在 %4 m 距離處被 %3 殺死。,%1 has been killed with a %3 from a %4 m distance.,%1 has been killed with a %3 from a %4 m distance.,%1 在 %4 m 距离处被 %3 杀死。,
STR_EXPANSION_KILLFEED_ANONYMOUS_PLAYER,Survivor,Survivor,Survivor,Überlebender,Выживший,Survivor,Survivor,Sopravvissuto,Superviviente.,Survivant,倖存者,Survivor,Survivor,幸存者,
STR_EXPANSION_RADIATIONZONE_TITLE,Radiation Zone,Radiation Zone,Radiační Zóna,Verstrahlte Zone,Радиоцинная зона,Strefa Promieniowania,Radiation Zone,Zona Radioattiva,Zona radioactiva,Zone Irradiée,輻射區,Zona de Radiação,Radiation Zone,辐射区,
